Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind fragt, warum immer nur Jungen die Bauklötze bekommen.;Ethik und Gesellschaft; Gesellschaft; Geschlechtergerechtigkeit, Rollenverständnis; Das Kind reflektiert stereotype Rollen und setzt sich für Gleichbehandlung ein.; 5+ Jahre; Bau- und Rollenspiele geschlechteroffen anregen, Bücher über starke Mädchen und sensible Jungen.
Das Kind zeigt Interesse, wie Müll getrennt wird und übernimmt das für die Gruppe.;Ethik und Gesellschaft; Gesellschaft; Umweltverantwortung, Nachhaltigkeit; Das Kind übernimmt Verantwortung für Umweltressourcen im Alltag.; 4+ Jahre; Müllsammelaktion im Außengelände, Recyclingstation in der Gruppe, Bücher über Umwelt.
Das Kind fragt nach, warum Mädchen Röcke tragen „müssen“.;Ethik und Gesellschaft; Gesellschaft; Gleichberechtigung, Geschlechterrollen; Das Kind hinterfragt Rollenzuschreibungen und entwickelt ein eigenes Bild von Gerechtigkeit.; 5+ Jahre; Kleidertausch im Rollenspiel, Diskussion zu Kleidung in Familienkulturen, Vielfalt im Puppenhaus.
Das Kind hilft einem Kind mit Einschränkung beim Anziehen der Schuhe.;Ethik und Gesellschaft; Gesellschaft; Inklusion, Mitgefühl; Das Kind entwickelt Solidarität und übernimmt Verantwortung im Alltag.; 3+ Jahre; Helferkind-System, Rollenspiele zu „Wie fühlt sich das an?“, Gespräch über Unterschiede.
Das Kind fragt, was das Kreuz auf einem Kirchturm bedeutet.;Ethik und Gesellschaft; Ethik; Religion, Symbole; Das Kind lernt religiöse Symbole kennen und entwickelt Interesse an spirituellen Themen.; 4+ Jahre; Symbolkarten, religiöse Orte im Buch erkunden, Gespräche über Feste.
Das Kind erzählt, dass es zu Hause manchmal kein Geld für bestimmte Dinge gibt.;Ethik und Gesellschaft; Gesellschaft; Soziale Gerechtigkeit, Armut; Das Kind lernt, dass Menschen in unterschiedlichen Lebenssituationen leben, ohne zu werten.; 5+ Jahre; Bücher über Kinder in Armut, Gesprächsrunden, Themenwoche „Was ist wichtig im Leben?“.
Das Kind fragt, warum eine Kollegin dunkle Haut hat.;Ethik und Gesellschaft; Ethik; Vielfalt, Respekt; Das Kind äußert altersgerecht Neugier und lernt über sichtbare Unterschiede hinwegzusehen.; 4+ Jahre; Bücher über Hautfarben, Gespräch mit pädagogischem Impuls, Hauttöne malen.
Das Kind bietet an, die Pflanzen für alle zu gießen.;Ethik und Gesellschaft; Ethik; Verantwortung, Gemeinschaftsgefühl; Das Kind übernimmt Aufgaben für das Gemeinwohl und stärkt sein Selbstwertgefühl.; 3+ Jahre; Gießdienst verteilen, Patenschaften für Pflanzen, Gartenprojekte.
Das Kind freut sich, wenn in seiner Sprache ein Lied gesungen wird.;Ethik und Gesellschaft; Gesellschaft; Sprachenvielfalt, Identität; Das Kind erfährt Wertschätzung seiner Muttersprache und fühlt sich zugehörig.; 3+ Jahre; Familiensprachen im Morgenkreis, mehrsprachige Lieder, Zählreime aus verschiedenen Ländern.
Das Kind fragt nach dem Beruf der Mutter eines Freundes.;Ethik und Gesellschaft; Gesellschaft; Lebensrealitäten, Berufsvielfalt; Das Kind zeigt Interesse an den Lebens- und Arbeitswelten anderer und erweitert sein Wissen.; 4+ Jahre; Berufewand, Elterninterviews, Verkleidungsecke mit Alltagsbezügen.
Das Kind erzählt, dass es kein Weihnachten feiert.;Ethik und Gesellschaft; Ethik; Religion, Toleranz; Das Kind erkennt eigene religiöse Zugehörigkeit und lernt, dass andere Kinder anders feiern.; 4+ Jahre; Interreligiöse Kalender, Feste aus aller Welt kennenlernen, Austausch über Familienbräuche.
Das Kind erzählt, dass der Opa im Altenheim wohnt.;Ethik und Gesellschaft; Gesellschaft; Generationenverständnis, Familienstrukturen; Das Kind versteht soziale Einrichtungen und spricht über Nähe und Distanz.; 4+ Jahre; Besuch im Seniorenheim, Brieffreundschaft, Geschichten aus dem Leben der Großeltern.
Das Kind reagiert verunsichert, als ein anderes Kind eine Orthese trägt.;Ethik und Gesellschaft; Gesellschaft; Körpervielfalt, Inklusion; Das Kind lernt, körperliche Unterschiede als Teil menschlicher Vielfalt zu akzeptieren.; 4+ Jahre; Gespräch über Hilfsmittel, Puppen mit Besonderheiten, Bilderbücher zu Inklusion.
Das Kind fragt, ob Werbung echt ist.;Ethik und Gesellschaft; Ethik; Medienkompetenz, kritisches Denken; Das Kind beginnt, mediale Inhalte zu hinterfragen und entwickelt erste Unterscheidungsfähigkeit.; 5+ Jahre; Werbung im Alltag besprechen, „Was ist echt?“ spielen, Medienquiz.
Das Kind sagt, dass die neue Spielküche nur für Mädchen sei.;Ethik und Gesellschaft; Gesellschaft; Rollenbilder, Gleichstellung; Das Kind äußert ein stereotypisches Bild, das gemeinsam reflektiert und aufgelöst wird.; 5+ Jahre; Gespräch über Beruf und Haushalt, Kochen mit Jungen, Geschichten über Rollenvielfalt.
Das Kind sagt, dass seine Familie kein Fleisch isst, aber andere dürfen.;Ethik und Gesellschaft; Ethik; Essgewohnheiten, Respekt; Das Kind erkennt und akzeptiert unterschiedliche Regeln in Familien.; 4+ Jahre; Ernährungstage, Speiseplan mit Symbolen, Gespräch über kulturelle Essgewohnheiten.
Das Kind fragt, warum man draußen Müll findet.;Ethik und Gesellschaft; Gesellschaft; Umweltethik, Verantwortung; Das Kind erkennt gesellschaftliches Fehlverhalten und möchte etwas ändern.; 4+ Jahre; Müllsammelaktion im Park, Umweltplakate gestalten, Naturtagebuch.
Das Kind bringt ein Bild seiner Familie mit und erklärt, wer alles dazugehört.;Ethik und Gesellschaft; Ethik; Familienkultur, Selbstbild; Das Kind erkennt und benennt eigene Familienstrukturen und erlebt Anerkennung.; 3+ Jahre; Familienwand gestalten, Fotobuch der Gruppe, Familientag mit Eltern.
Das Kind fragt, warum jemand kein Deutsch spricht.;Ethik und Gesellschaft; Gesellschaft; Sprache, Integration; Das Kind zeigt Interesse an Mehrsprachigkeit und lernt sprachliche Vielfalt kennen.; 4+ Jahre; Begrüßungen in vielen Sprachen, Tandempartner beim Sprechen, Sprachspiele.
Das Kind schlägt eine neue Regel vor, um Streit beim Spielen zu vermeiden.;Ethik und Gesellschaft; Ethik; Konfliktlösung, Regelverständnis; Das Kind bringt aktiv Ideen zur Verbesserung des Gruppenklimas ein.; 5+ Jahre; Konfliktkonferenzen, Regeln neu denken, „Wenn ich Chef wäre...“-Runde.
Das Kind fragt, warum es keine Frauen im Feuerwehrbuch gibt.;Ethik und Gesellschaft; Gesellschaft; Repräsentation, Geschlechtergerechtigkeit; Das Kind erkennt fehlende Vielfalt in Medien und äußert Kritik.; 5+ Jahre; Bücher unter die Lupe nehmen, eigene Held*innen malen, Geschichten umschreiben.
Das Kind fragt nach den Arbeitszeiten der Eltern anderer Kinder und erzählt von den Arbeitszeiten seiner Eltern.;Ethik und Gesellschaft;Gesellschaft;Berufswelt;Förderung des Verständnisses für die Berufswelt und die soziale Realität;7+ Jahre;Gesprächsrunden über Berufe, Rollenspiele mit Berufen, Bilderbücher über Berufe
Das Kind fragt nach besonderen Ereignissen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Familienereignisse;Förderung des Verständnisses für Familienereignisse und die soziale Realität;7+ Jahre;Gesprächsrunden über Ereignisse, Rollenspiele mit Ereignissen, Bilderbücher über Ereignisse
Das Kind fragt nach der Bedeutung von Medien in anderen Familien und erzählt von der Bedeutung in seiner eigenen Familie.;Ethik und Gesellschaft;Gesellschaft;Medienkompetenz;Förderung der Medienkompetenz und des Verständnisses für den Medienkonsum;7+ Jahre;Gesprächsrunden über Medien, Rollenspiele mit Medien, Medien-Projekte
Das Kind fragt nach den Wohnverhältnissen anderer Kinder und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Wohnumfeld;Förderung des Verständnisses für verschiedene Wohnverhältnisse und die soziale Realität;6+ Jahre;Gesprächsrunden über Wohnen, Rollenspiele mit Wohnsituationen, Bilderbücher über Wohnen
Das Kind fragt nach den Erfahrungen anderer Kinder im Wohnumfeld und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Wohnumfeld;Förderung des Verständnisses für das Wohnumfeld und die soziale Realität;6+ Jahre;Gesprächsrunden über Wohnumfeld, Rollenspiele mit Wohnumfeld, Bilderbücher über Wohnumfeld
Das Kind fragt nach Familientraditionen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Familientraditionen;Förderung des Verständnisses für Familientraditionen und die soziale Integration;6+ Jahre;Gesprächsrunden über Traditionen, Rollenspiele mit Traditionen, Bilderbücher über Traditionen
Das Kind fragt nach Gepflogenheiten und Normen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Familienwerte;Förderung des Verständnisses für Familienwerte und die soziale Integration;6+ Jahre;Gesprächsrunden über Werte, Rollenspiele mit Werten, Bilderbücher über Werte
Das Kind fragt nach religiösen Prägungen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Religiöse Vielfalt;Förderung des Verständnisses für religiöse Vielfalt und die soziale Integration;7+ Jahre;Gesprächsrunden über Religionen, Rollenspiele mit Religionen, Bilderbücher über Religionen
Das Kind fragt nach geschlechtsspezifischen Erwartungen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Ethik;Geschlechterrollen;Förderung des Verständnisses für Geschlechterrollen und die soziale Integration;7+ Jahre;Gesprächsrunden über Geschlechterrollen, Rollenspiele mit Geschlechterrollen, Bilderbücher über Geschlechterrollen
Das Kind fragt nach finanziellen Situationen in anderen Familien und erzählt von seiner eigenen.;Ethik und Gesellschaft;Ethik;Soziale Ungleichheit;Förderung des Verständnisses für soziale Ungleichheit und die soziale Realität;7+ Jahre;Gesprächsrunden über Armut und Reichtum, Rollenspiele mit sozialen Ungleichheiten, Bilderbücher über soziale Ungleichheit
Das Kind fragt nach Migrationserfahrungen in anderen Familien und erzählt von seinen eigenen.;Ethik und Gesellschaft;Gesellschaft;Migration;Förderung des Verständnisses für Migration und die soziale Integration;7+ Jahre;Gesprächsrunden über Migration, Rollenspiele mit Migrationsszenarien, Bilderbücher über Migration
Das Kind fragt nach der Aufteilung von Aufgaben in anderen Familien und erzählt von seiner eigenen.;Ethik und Gesellschaft;Ethik;Rollenverteilung;Förderung des Verständnisses für Rollenverteilung und die soziale Integration;7+ Jahre;Gesprächsrunden über Aufgabenverteilung, Rollenspiele mit Aufgabenverteilung, Bilderbücher über Aufgabenverteilung
Das Kind zeigt wenig Interesse an Kindern mit besonderen Bedürfnissen und wirkt abweisend.;Ethik und Gesellschaft;Ethik;Inklusion;Förderung der Inklusion und des Respekts für Unterschiede;6+ Jahre;Gemeinsame Spiele mit Kindern mit besonderen Bedürfnissen, Bilderbücher über Inklusion, Gesprächsrunden
Das Kind zeigt Interesse an Familiengeschichten und Migrationserfahrungen.;Ethik und Gesellschaft;Gesellschaft;Migration und Vielfalt;Förderung des Verständnisses für Migration und kulturelle Vielfalt;6+ Jahre;Bilderbücher über Migration, Rollenspiele mit Migrationserfahrungen, Gesprächsrunden
Das Kind beschäftigt sich sehr mit Rollenverteilungen der Geschlechter.;Ethik und Gesellschaft;Ethik;Geschlechterrollen;Förderung des Verständnisses für Geschlechterrollen und Gleichberechtigung;5+ Jahre;Rollenspiele mit Geschlechterrollen, Bilderbücher über Geschlechterrollen, Gesprächsrunden
Das Kind hat Schwierigkeiten, über Ausgrenzungen zu sprechen und wirkt verunsichert.;Ethik und Gesellschaft;Ethik;Inklusion und Gerechtigkeit;Förderung des Verständnisses für Inklusion und soziale Gerechtigkeit;6+ Jahre;Rollenspiele mit Ausgrenzungsszenarien, Bilderbücher über Ausgrenzung, Gesprächsrunden
Das Kind zeigt großes Interesse an Geschlechtsunterschieden.;Ethik und Gesellschaft;Ethik;Geschlechterrollen;Förderung des Verständnisses für geschlechtsspezifische Gemeinsamkeiten und Unterschiede;5+ Jahre;Rollenspiele mit Geschlechterrollen, Bilderbücher über Geschlechterrollen, Gesprächsrunden
Das Kind zeigt wenig Interesse an Traditionen in der Kita und wirkt unbeteiligt.;Ethik und Gesellschaft;Gesellschaft;Kita-Kultur;Förderung des Verständnisses für die Kita-Kultur und Traditionen;4+ Jahre;Gesprächsrunden über Kita-Traditionen, Rollenspiele mit Kita-Traditionen, Bilderbücher über Kita-Traditionen
Das Kind hat Schwierigkeiten, Unterschiede zwischen  Kita- und Familientraditionen zu verstehen.;Ethik und Gesellschaft;Ethik;Kita-Kultur und Familie;Förderung des Verständnisses für Unterschiede zwischen Kita- und Familientraditionen;5+ Jahre;Gesprächsrunden über Traditionen, Rollenspiele mit Traditionen, Bilderbücher über Traditionen
Das Kind ist unsicher über den religiösen Hintergrund der Familie zu sprechen. Das Kind kann nichts über seine Familienreligion erzählen, wenn die anderen Kinder darüber sprechen.;Ethik und Gesellschaft;Gesellschaft;Vielfalt und Weltanschauung;Förderung des Verständnisses für religiöse und weltanschauliche Vielfalt;6+ Jahre;Gesprächsrunden über Religionen und Weltanschauungen, Bilderbücher über Religionen und Weltanschauungen, Rollenspiele
Das Kind fragt nach den Menschen in der Nachbarschaft und ihren Gemeinsamkeiten.;Ethik und Gesellschaft;Gesellschaft;Soziale Beziehungen;Förderung des Verständnisses für die soziale Gemeinschaft;4+ Jahre;Gesprächsrunden über Nachbarn, Rollenspiele mit Nachbarn, Nachbarschafts-Ausflüge
Das Kind zeigt Interesse an Angeboten für Kinder und Familien im Umfeld.;Ethik und Gesellschaft;Gesellschaft;Soziale Teilhabe;Förderung der sozialen Teilhabe und des Zugangs zu Ressourcen;5+ Jahre;Ausflüge zu Angeboten, Gesprächsrunden über Angebote, Rollenspiele mit Angeboten
Das Kind fragt nach Orten mit historischer Bedeutung und möchte sie erkunden.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des historischen Bewusstseins und des Interesses an Geschichte;6+ Jahre;Ausflüge zu historischen Orten, Gesprächsrunden über Geschichte, Rollenspiele mit historischen Ereignissen
Das Kind möchte wissen, wer im Gemeinwesen bestimmt und fragt nach Mitbestimmungsmöglichkeiten.;Ethik und Gesellschaft;Gesellschaft;Demokratisches Bewusstsein;Förderung des demokratischen Bewusstseins und der Partizipation;6+ Jahre;Gesprächsrunden über Mitbestimmung, Rollenspiele mit Entscheidungssituationen, Kinderparlament-Spiele
Das Kind fragt nach der Bedeutung lokaler Traditionen und Feste.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und der Wertschätzung von Traditionen;5+ Jahre;Gesprächsrunden über Traditionen, Rollenspiele mit Festen, Vorbereitung von Festen
Das Kind fragt nach Bildern von Angehörigen verschiedener Gruppen und ihren Rollenbildern.;Ethik und Gesellschaft;Gesellschaft;Vielfalt und Rollenbilder;Förderung des Verständnisses für Vielfalt und die Reflexion von Rollenbildern;6+ Jahre;Gesprächsrunden über Rollenbilder, Rollenspiele mit verschiedenen Rollen, Bilderbuch-Analyse
Das Kind möchte wissen, wie Geschichte das Leben am Wohnort geprägt hat und fragt nach Veränderungen.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des historischen Bewusstseins und des Verständnisses für gesellschaftliche Entwicklung;6+ Jahre;Gesprächsrunden über Geschichte, Rollenspiele mit historischen Ereignissen, Zeitzeugen-Interviews
Das Kind fragt nach Erfahrungen von Kindern an anderen Orten und möchte Gemeinsamkeiten und Unterschiede erkennen.;Ethik und Gesellschaft;Gesellschaft;Interkulturelles Bewusstsein;Förderung des interkulturellen Bewusstseins und der Wertschätzung von Vielfalt;5+ Jahre;Gesprächsrunden über andere Orte, Rollenspiele mit interkulturellen Szenarien, Reise-Erinnerungen austauschen
Das Kind möchte wissen, was Kinder mit Herkunftsorten von Verwandten verbinden und fragt nach deren Bedeutung.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und der Wertschätzung von Herkunft;6+ Jahre;Gesprächsrunden über Herkunft, Rollenspiele mit Herkunftsorten, Austausch von Gegenständen und Geschichten
Das Kind fragt nach bedeutsamen Ereignissen in der Welt und möchte ihre Bedeutung verstehen.;Ethik und Gesellschaft;Gesellschaft;Weltgeschehen und Emotionen;Förderung des Verständnisses für Weltgeschehen und der emotionalen Verarbeitung;6+ Jahre;Gesprächsrunden über Ereignisse, Rollenspiele mit Ereignissen, Bilderbuch-Analyse
Das Kind möchte wissen, welche Medienerfahrungen andere Kinder haben und fragt nach deren Verarbeitung.;Ethik und Gesellschaft;Gesellschaft;Medienkompetenz und Emotionen;Förderung der Medienkompetenz und der emotionalen Verarbeitung von Medieninhalten;6+ Jahre;Gesprächsrunden über Medienerfahrungen, Rollenspiele mit Medienszenarien, Medien-Analyse
Das Kind fragt nach der Erweiterung des Erfahrungshorizonts durch Medien und möchte Beispiele kennenlernen.;Ethik und Gesellschaft;Gesellschaft;Medienkompetenz und Weltwissen;Förderung der Medienkompetenz und der Erweiterung des Weltwissens;5+ Jahre;Gesprächsrunden über Medien, Medien-Projekte, Medien-Ausflüge
Das Kind möchte wissen, wie sich das sozial-kulturelle Leben am Wohnort im Laufe der Geschichte verändert hat.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des historischen Bewusstseins und des Verständnisses für gesellschaftliche Veränderungen;6+ Jahre;Gesprächsrunden über Geschichte, Rollenspiele mit historischen Ereignissen, Zeitzeugen-Interviews
Das Kind fragt nach den Veränderungen, die Geschichte bewirkt hat und wer daran beteiligt war.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des Verständnisses für historische Prozesse und gesellschaftliche Akteure;6+ Jahre;Gesprächsrunden über Geschichte, Rollenspiele mit historischen Ereignissen, Zeitzeugen-Interviews
Das Kind möchte wissen, welche Erfahrungen Kinder an anderen Orten machen und fragt nach Gemeinsamkeiten und Unterschieden.;Ethik und Gesellschaft;Gesellschaft;Interkulturelles Bewusstsein;Förderung des interkulturellen Bewusstseins und der Wertschätzung von Vielfalt;5+ Jahre;Gesprächsrunden über andere Orte, Rollenspiele mit interkulturellen Szenarien, Reise-Erinnerungen austauschen
Das Kind fragt nach den Dingen, die Kinder mit den Herkunftsorten ihrer Verwandten verbinden und möchte mehr darüber erfahren.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und der Wertschätzung von Herkunft;6+ Jahre;Gesprächsrunden über Herkunft, Rollenspiele mit Herkunftsorten, Austausch von Gegenständen und Geschichten
Das Kind möchte wissen, welche Ereignisse in der Welt für Kinder bedeutsam sind und fragt nach ihren Gefühlen dazu.;Ethik und Gesellschaft;Ethik;Weltgeschehen und Emotionen;Förderung des Verständnisses für Weltgeschehen und der emotionalen Verarbeitung;6+ Jahre;Gesprächsrunden über Ereignisse, Rollenspiele mit Ereignissen, Bilderbuch-Analyse
Das Kind fragt nach Entscheidungsprozessen in der Gruppe.;Ethik und Gesellschaft;Ethik;Demokratisches Bewusstsein;Förderung des Verständnisses für Entscheidungsprozesse;5+ Jahre;Abstimmungsspiele, Entscheidungs-Puzzle, Entscheidungs-Theater, Entscheidungs-Collage
Das Kind möchte wissen, wie Bildung die eigenen Möglichkeiten erweitert.;Ethik und Gesellschaft;Gesellschaft;Selbstwirksamkeit;Förderung des Verständnisses für die Bedeutung von Bildung;6+ Jahre;Bildungs-Puzzle, Bildungs-Theater, Bildungs-Collage, Bildungs-Ausflug
Das Kind fragt nach der historischen Entwicklung der Welt.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des Verständnisses für die historische Entwicklung;6+ Jahre;Geschichts-Puzzle, Geschichts-Theater, Geschichts-Collage, Geschichts-Expedition
Das Kind möchte wissen, wie es selbst etwas bewirken kann.;Ethik und Gesellschaft;Ethik;Selbstwirksamkeit;Förderung des Selbstwirksamkeitsgefühls;4+ Jahre;Projekt-Puzzle, Projekt-Theater, Projekt-Collage, Projekt-Aktion
Das Kind zeigt Interesse an der aktiven Teilnahme an der Gemeinschaft.;Ethik und Gesellschaft;Ethik;Soziale Teilhabe;Förderung der sozialen Teilhabe und des Gemeinschaftsgefühls;5+ Jahre;Gemeinschafts-Puzzle, Gemeinschafts-Theater, Gemeinschafts-Collage, Gemeinschafts-Aktion
Das Kind möchte wissen, wie es Unterschiede zwischen Kindern und Erwachsenen wahrnehmen und anerkennen kann.;Ethik und Gesellschaft;Ethik;Soziale Wahrnehmung und Akzeptanz;Förderung der sozialen Wahrnehmung und Akzeptanz von Unterschieden;5+ Jahre;Unterschiede-Puzzle, Unterschiede-Theater, Unterschiede-Collage, Unterschiede-Gespräch
Das Kind fragt nach den Interessen verschiedener Gruppen am Wohnort.;Ethik und Gesellschaft;Ethik;Soziale Wahrnehmung und Gemeinschaft;Förderung der sozialen Wahrnehmung und des Verständnisses für Gemeinschaft;6+ Jahre;Gruppen-Puzzle, Gruppen-Theater, Gruppen-Collage, Gruppen-Treffen
Das Kind möchte wissen, wie es verschiedene Lebensformen und Familienkulturen wahrnehmen und anerkennen kann.;Ethik und Gesellschaft;Ethik;Kulturelle Vielfalt und Akzeptanz;Förderung des Verständnisses für kulturelle Vielfalt und Akzeptanz;6+ Jahre;Kultur-Puzzle, Kultur-Theater, Kultur-Collage, Kultur-Fest
Das Kind möchte wissen, wie es ein Grundverständnis dafür entwickeln kann, dass eigene Ansichten nicht richtig sein müssen.;Ethik und Gesellschaft;Ethik;Perspektivenübernahme und Toleranz;Förderung der Perspektivenübernahme und Toleranz;6+ Jahre;Perspektiven-Puzzle, Perspektiven-Theater, Perspektiven-Collage, Perspektiven-Debatte
Das Kind fragt nach Entscheidungsprozessen in verschiedenen Kontexten.;Ethik und Gesellschaft;Ethik;Demokratisches Bewusstsein;Förderung des Verständnisses für Entscheidungsprozesse in verschiedenen Kontexten;6+ Jahre;Entscheidungs-Puzzle, Entscheidungs-Theater, Entscheidungs-Collage, Entscheidungs-Analyse
Das Kind möchte wissen, wie Bildung die eigenen Handlungs- und Entscheidungsmöglichkeiten in verschiedenen Bereichen erweitert.;Ethik und Gesellschaft;Gesellschaft;Selbstwirksamkeit und Bildung;Förderung des Verständnisses für die Bedeutung von Bildung in verschiedenen Bereichen;6+ Jahre;Bildungs-Puzzle, Bildungs-Theater, Bildungs-Collage, Bildungs-Ausflug
Das Kind fragt nach der historischen Entwicklung der Welt in verschiedenen Epochen.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des Verständnisses für die historische Entwicklung in verschiedenen Epochen;6+ Jahre;Geschichts-Puzzle, Geschichts-Theater, Geschichts-Collage, Geschichts-Expedition
Das Kind möchte wissen, wie es selbst etwas bewirken kann, um positive Veränderungen in der Gemeinschaft zu erreichen.;Ethik und Gesellschaft;Ethik;Selbstwirksamkeit und soziales Engagement;Förderung des Selbstwirksamkeitsgefühls und des sozialen Engagements;5+ Jahre;Projekt-Puzzle, Projekt-Theater, Projekt-Collage, Projekt-Aktion
Das Kind zeigt Interesse an der aktiven Teilnahme an verschiedenen Gemeinschaften.;Ethik und Gesellschaft;Gesellschaft;Soziale Teilhabe und Vielfalt;Förderung der sozialen Teilhabe und des Verständnisses für verschiedene Gemeinschaften;6+ Jahre;Gemeinschafts-Puzzle, Gemeinschafts-Theater, Gemeinschafts-Collage, Gemeinschafts-Aktion
Das Kind möchte wissen, wie es eigene Ideen entwickeln und andere in verschiedenen Kontexten begeistern kann.;Ethik und Gesellschaft;Gesellschaft;Kreativität, Initiative und Führung;Förderung der Kreativität, Initiative und Führungsfähigkeiten in verschiedenen Kontexten;6+ Jahre;Ideen-Puzzle, Ideen-Theater, Ideen-Collage, Ideen-Präsentation
Das Kind möchte wissen, wie man mit anderen Kindern auf dem Wochenmarkt ins Gespräch kommt.;Ethik und Gesellschaft;Gesellschaft;Soziale Interaktion;Förderung der sozialen Interaktion und des Kontakts zu anderen Kindern;4+ Jahre;Rollenspiele mit Einkaufsgesprächen, Ausflug zum Wochenmarkt, Gesprächsrunden über Kommunikation,Einkaufs-Puzzle, Einkaufs-Theater, Einkaufs-Collage, Einkaufs-Gespräch
Das Kind fragt nach Initiativen und Festen im Umfeld und möchte daran teilnehmen.;Ethik und Gesellschaft;Gesellschaft;Soziale Teilhabe;Förderung der sozialen Teilhabe und des Gemeinschaftsgefühls;5+ Jahre;Besuch von Initiativen und Festen, Gesprächsrunden über Gemeinschaft, Rollenspiele mit Festen,Fest-Puzzle, Fest-Theater, Fest-Collage, Fest-Ausflug
Das Kind fragt nach Anlaufstellen für Kinder und möchte wissen, wo Kinder Unterstützung erwarten können.;Ethik und Gesellschaft;Ethik;Soziale Unterstützung;Förderung des Verständnisses für soziale Unterstützung und Hilfsangebote;6+ Jahre;Besuch von Anlaufstellen, Gesprächsrunden über Hilfsangebote, Rollenspiele mit Hilfesuche, Hilfsangebots-Puzzle, Hilfsangebots-Theater, Hilfsangebots-Collage, Hilfsangebots-Besuch
Das Kind möchte aktuelle Beispiele aus der Tagespolitik diskutieren und fragt nach Möglichkeiten des Widerstands.;Ethik und Gesellschaft;Gesellschaft;Politisches Bewusstsein;Förderung des politischen Bewusstseins und des Verständnisses für Gerechtigkeit;6+ Jahre;Gesprächsrunden über Tagespolitik, Rollenspiele mit politischen Aktionen, Besuch von politischen Institutionen, Politik-Puzzle, Politik-Theater, Politik-Collage, Politik-Gespräch
Das Kind möchte wissen, wie Kinder in der Eltern- und Großelterngeneration gelebt haben und fragt nach Unterschieden.;Ethik und Gesellschaft;Gesellschaft;Historisches Bewusstsein;Förderung des historischen Bewusstseins und des Verständnisses für gesellschaftliche Veränderungen;6+ Jahre;Besuch von Museen, Gespräche mit älteren Menschen, Rollenspiele mit historischen Szenarien, Geschichts-Puzzle, Geschichts-Theater, Geschichts-Collage, Geschichts-Expedition
Das Kind möchte mit Beispielen des Weltkulturerbes bekannt gemacht werden und fragt nach Reportagen darüber.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und des Interesses an Weltkulturerbe;6+ Jahre;Besuch von Weltkulturerbestätten, Rechercheprojekte, Rollenspiele mit Reportagen, Weltkulturerbe-Puzzle, Weltkulturerbe-Theater, Weltkulturerbe-Collage, Weltkulturerbe-Reise
Das Kind möchte Zukunftsvisionen entwerfen und fragt nach den Wünschen anderer Kinder.;Ethik und Gesellschaft;Ethik;Zukunftsplanung;Förderung der Zukunftsplanung und des Verständnisses für gesellschaftliche Entwicklung;6+ Jahre;Zukunftswerkstatt-Spiele, Gesprächsrunden über Zukunftsvisionen, Rollenspiele mit Zukunftsszenarien, Zukunfts-Puzzle, Zukunfts-Theater, Zukunfts-Collage, Zukunfts-Projekt
Das Kind möchte wissen, ob Werbung hält, was sie verspricht und fragt nach Beispielen.;Ethik und Gesellschaft;Ethik;Medienkompetenz;Förderung der Medienkompetenz und des kritischen Umgangs mit Werbung;6+ Jahre;Analyse von Werbung, Rollenspiele mit Werbeszenarien, Gesprächsrunden über Werbung, Werbe-Puzzle, Werbe-Theater, Werbe-Collage, Werbe-Analyse
Das Kind möchte Gebrauchsgegenstände aus verschiedenen historischen und soziokulturellen Kontexten kennenlernen und fragt nach ihrer Bedeutung.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und des Verständnisses für verschiedene Lebensweisen;6+ Jahre;Ausstellung von Gebrauchsgegenständen, Rollenspiele mit verschiedenen Lebensweisen, Gesprächsrunden über Kulturen, Kultur-Puzzle, Kultur-Theater, Kultur-Collage, Kultur-Ausstellung
