Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind zeigt Interesse an chemischen Experimenten und fragt nach deren Ergebnissen.;Natur und Technik;Technik;Chemie;Förderung des Interesses an chemischen Prozessen und der Bedeutung von Chemie für die Wissenschaft;6+ Jahre;"Experimente mit Lebensmittelfarben, Experimente mit Backpulver, Experimente mit pH-Wert-Indikatoren, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert Tiere in ihrem natürlichen Lebensraum.;Natur und Technik;Natur;Ökologie;Förderung des Interesses an ökologischen Zusammenhängen und der Bedeutung von Naturschutz;5+ Jahre;"Exkursionen in den Wald, Besuch im Zoo, Tierfährten suchen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an geologischen Phänomenen und fragt nach Steinen und Fossilien.;Natur und Technik;Natur;Geologie;Förderung des Interesses an der Erforschung der Erde und der Bedeutung von Geologie für die Wissenschaft;6+ Jahre;"Steine sammeln und bestimmen, Fossilien suchen, Besuch im Naturkundemuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache elektrische Schaltungen.;Natur und Technik;Technik;Elektrotechnik;Förderung des Verständnisses für elektrische Zusammenhänge und die Anwendung von Elektrotechnik im Alltag;6+ Jahre;"Stromkreise mit Glühbirnen bauen, Experimente mit Magneten und Strom, Besuch im Elektrizitätswerk, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise des menschlichen Körpers und fragt nach Organen und Körperfunktionen.;Natur und Technik;Natur;Biologie (Mensch);Förderung des Verständnisses für biologische Zusammenhänge und die Bedeutung von Biologie für die Gesundheit;6+ Jahre;"Modelle von Organen bauen, Besuch im Körperwelten-Museum, Experimente mit Atmung und Puls, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Energiequellen und deren Nutzung.;Natur und Technik;Technik;Energietechnik;Förderung des Verständnisses für Energieumwandlung und die Bedeutung von erneuerbaren Energien;6+ Jahre;"Windräder bauen, Solarmodelle konstruieren, Experimente mit Brennstoffzellen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert das Wachstum von Pflanzen und fragt nach deren Bedürfnissen.;Natur und Technik;Natur;Botanik;Förderung des Interesses an Pflanzenwachstum und der Bedeutung von Pflanzen für die Umwelt;5+ Jahre;"Samen säen und beobachten, Pflanzen pflegen, Besuch im botanischen Garten, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Roboter und programmiert deren Bewegungen.;Natur und Technik;Technik;Robotik;Förderung des Verständnisses für Robotik und Programmierung und die Anwendung von Robotik im Alltag;6+ Jahre;"Roboter aus Bausätzen bauen, Roboter mit einfachen Programmen steuern, Wettbewerb ""Roboterparcours"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise von Computern und fragt nach deren Programmen.;Natur und Technik;Technik;Informatik;Förderung des Verständnisses für Informatik und die Anwendung von Computern im Alltag;6+ Jahre;"Einfache Programme schreiben, Spiele programmieren, Besuch im Computerraum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert die Bewegung von Wolken und fragt nach deren Entstehung.;Natur und Technik;Natur;Meteorologie;Förderung des Interesses an Wetterphänomenen und der Bedeutung von Meteorologie für die Wissenschaft;5+ Jahre;"Wolkenbilder malen, Wolkenarten bestimmen, Experimente mit Luftströmungen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Brücken und Gebäude.;Natur und Technik;Technik;Statik;Förderung des Verständnisses für Statik und die Anwendung von Statik in der Architektur;6+ Jahre;"Brücken aus Papier bauen, Gebäude aus Holzklötzen konstruieren, Wettbewerb ""Stabilste Konstruktion"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind betrachtet aufmerksam eine Spinne, die ihr Netz spinnt.;Natur und Technik;Natur;Tiere und Lebensräume;Verständnis für die Lebensweise von Tieren entwickeln.;3+;Spinnennetz aus Wolle basteln, Spinnen im Garten beobachten, Buch: „Die kleine Spinne Widerlich“ vorlesen.
Das Kind fragt, warum die Blätter im Herbst ihre Farbe ändern.;Natur und Technik;Natur;Pflanzen und Jahreszeiten;Zusammenhang zwischen Jahreszeiten und Pflanzenwandel erkennen.;4+;Blätter sammeln und pressen, Experimente mit Chlorophyll, Herbstspaziergang.
Das Kind betrachtet die Regentropfen an der Fensterscheibe und verfolgt ihren Lauf.;Natur und Technik;Natur;Wetter und Wasser;Naturphänomenen bewusst begegnen.;3+;Regentropfenrennen mit Folienstift auf Fenster, Wasserkreislauf-Experiment, Buch: „Plitsch, Platsch, Regentag“.
Das Kind spielt mit Magneten und entdeckt, dass manche Dinge angezogen werden.;Natur und Technik;Technik;Physikalische Phänomene;Erste Erfahrungen mit Magnetismus machen.;4+;Magnetspiele, verschiedene Materialien testen, Magnetangeln.
Das Kind fragt, warum ein Schiff aus Metall schwimmen kann.;Natur und Technik;Technik;Physik des Schwimmens;Verständnis für Auftrieb und Dichte entwickeln.;5+;Schwimm- und Sink-Experiment mit verschiedenen Materialien, Papierschiff-Falten, Besuch am Teich.
Das Kind schaut fasziniert auf eine Baustelle und fragt nach den Maschinen.;Natur und Technik;Technik;Bauwesen;Technik im Alltag verstehen.;3+;Baustellenbesuch, Bauarbeiter-Rollenspiel, Bagger aus Karton basteln.
Das Kind misst mit Schritten, wie lang ein Weg ist.;Natur und Technik;Technik;Mathematisches Frühverständnis;Messen und Größenvergleiche kennenlernen.;4+;Messband herstellen, Größen schätzen und überprüfen, Lied: „Eins, zwei, drei im Sauseschritt“.
Das Kind experimentiert mit Zahnrädern und beobachtet, wie sie sich drehen.;Natur und Technik;Technik;Mechanik;Funktionsweise von Zahnrädern erforschen.;4+;Getriebe aus Lego bauen, Zahnrad-Experiment, Fahrradmechanismus untersuchen.
Das Kind verfolgt die Bahn eines fallenden Balls.;Natur und Technik;Technik;Bewegung und Kräfte;Physikalische Prinzipien der Schwerkraft erfassen.;3+;Kugelbahn bauen, Ball aus verschiedenen Höhen fallen lassen, Trampolinspringen.
Das Kind betrachtet den Schatten seiner Hand an der Wand.;Natur und Technik;Natur;Licht und Schatten;Erste Erfahrungen mit Licht und Schatten.;3+;Schattenspiele mit Taschenlampen, Schattentheater, Sonnenstand beobachten.
Das Kind stellt Fragen zu Ampeln und Verkehrsschildern.;Natur und Technik;Technik;Verkehrstechnik;Bedeutung von Verkehrsregeln erfassen.;4+;Verkehrsspaziergang, Ampelspiel, Malen von Verkehrsschildern.
Das Kind lauscht gespannt auf Vogelstimmen im Park.;Natur und Technik;Natur;Tiere und Umwelt;Tiere an ihren Lauten erkennen.;4+;Vogelstimmen anhören und erraten, Nistkasten bauen, Buch: „Wer singt denn da?“.
Das Kind interessiert sich für Sonnenkollektoren auf Dächern.;Natur und Technik;Technik;Erneuerbare Energien;Nutzung erneuerbarer Energien kennenlernen.;5+;Solarspielzeug testen, Sonnenwärmeexperiment, Solarzellen besichtigen.
Das Kind pustet gegen ein Windrad und beobachtet die Bewegung.;Natur und Technik;Technik;Windenergie;Wirkung von Windkraft erfahren.;3+;Windräder basteln, Drachen steigen lassen, Windspiele anhören.
Das Kind beobachtet Schneeflocken und fragt, warum jede anders aussieht.;Natur und Technik;Natur;Wetter und Jahreszeiten;Einzigartigkeit der Natur erkennen.;4+;Schneeflocken unter Lupe betrachten, Eiskristalle basteln, Experiment: Schnee schmelzen.
Das Kind entdeckt ein altes Foto und fragt, wie die Stadt früher aussah.;Natur und Technik;Technik;Stadtentwicklung;Veränderungen in der Umgebung erforschen.;5+;Alte Bilder vergleichen, Stadtführung mit Großeltern, Museum besuchen.
Das Kind zeigt Interesse an der Funktionsweise eines Wasserhahns.;Natur und Technik;Technik;Wasserversorgung;Wasser als Ressource verstehen.;4+;Wasserverbrauch messen, Staudamm im Sandkasten bauen, Wasserkreislauf malen.
Das Kind fragt, warum Vögel im Winter wegfliegen.;Natur und Technik;Natur;Tierwanderung;Zugvögel und Lebensräume kennenlernen.;5+;Vogelzug-Karte basteln, Futterstation bauen, Buch: „Warum fliegen Vögel in den Süden?“.
Das Kind betrachtet staunend den Regenbogen.;Natur und Technik;Natur;Optik;Farbspektrum kennenlernen.;3+;Regenbogen mit Glasprisma erzeugen, Regenbogenbilder malen, Lied: „Ich male mir die Welt“.
Das Kind bemerkt, dass Eis auf einer warmen Fläche schmilzt.;Natur und Technik;Natur;Temperatur und Stoffe;Aggregatzustände verstehen.;3+;Eiswürfelwettlauf, Wasser einfrieren und schmelzen lassen, Experimente mit warmem und kaltem Wasser.
Das Kind interessiert sich für den Mond und fragt, warum er sich verändert.;Natur und Technik;Natur;Astronomie;Mondphasen kennenlernen.;5+;Mondbeobachtung, Phasen mit Keksen nachstellen, Planetariumsbesuch.
Das Kind fragt, warum Flugzeuge fliegen.;Natur und Technik;Technik;Aerodynamik;Luftströmung verstehen.;5+;Papierflieger-Wettbewerb, Windkanal-Experiment, Buch: „Warum fliegt ein Flugzeug?“.
Das Kind will wissen, warum manche Stoffe brennen und andere nicht.;Natur und Technik;Technik;Chemische Reaktionen;Verbrennung verstehen.;5+;Experiment mit Feuer und Wasser, Feuerwehrbesuch, Sicherheitsregeln besprechen.
Das Kind ist fasziniert von einem Kompass und fragt, warum er immer nach Norden zeigt.;Natur und Technik;Technik;Magnetismus;Orientierung mit dem Magnetfeld der Erde.;6+;Kompass basteln, Schatzsuche mit Kompass, Kartenlesen üben.
Das Kind beobachtet, wie eine Kerze flackert, wenn jemand vorbeigeht.;Natur und Technik;Technik;Luftbewegung;Luftströmungen wahrnehmen.;3+;Kerzen-Experiment, Seifenblasen und Windströmungen untersuchen, Windmessung.
Das Kind hört gespannt, wie unterschiedliche Materialien klingen.;Natur und Technik;Technik;Akustik;Geräusche und Schall verstehen.;4+;Klangexperimente mit Gläsern, Instrumente basteln, Geräusche-Ratespiel.
Das Kind fragt, warum manche Autos elektrisch fahren.;Natur und Technik;Technik;Elektromobilität;Unterschied zwischen Benzin- und Elektroautos erkennen.;5+;Elektroauto-Modelle anschauen, Batterie-Experiment, Besuch im Autohaus.
Das Kind interessiert sich für Tierspuren im Schnee.;Natur und Technik;Natur;Tierspuren;Verhalten von Wildtieren im Winter kennenlernen.;4+;Tierspuren bestimmen, Gipsabdrücke machen, Waldspaziergang.
Das Kind fragt, warum der Himmel blau ist.;Natur und Technik;Natur;Optik;Streuung des Lichts verstehen.;5+;Experiment mit Taschenlampe und Milch, Himmelbeobachtung, Buch: „Warum ist der Himmel blau?“.
Das Kind beobachtet, wie Regenwürmer sich im feuchten Boden bewegen.;Natur und Technik;Natur;Lebensräume erkunden;Förderung der Naturbeobachtung und des Verständnisses für Bodenlebewesen;4+ Jahre;Regenwurmkiste bauen, Beobachtungsprotokolle, Natur-Entdecker-Pässe
Das Kind verbindet mehrere Zahnräder so, dass sie sich gemeinsam bewegen.;Natur und Technik;Technik;Mechanisches Verständnis;Förderung von logischem Denken und Technikverständnis;5+ Jahre;Zahnradsätze bereitstellen, Bewegungsrätsel, Technik-Station
Das Kind sortiert Blätter nach Form und Farbe.;Natur und Technik;Natur;Pflanzenerkennung;Förderung von Differenzierungsfähigkeit und Naturbezug;3+ Jahre;Blättermemory, Herbarium anlegen, Spaziergang mit Sammelkarten
Das Kind fragt, wie Strom durch ein Kabel fließt.;Natur und Technik;Technik;Stromkreise verstehen;Förderung des Grundverständnisses für Elektrizität;6+ Jahre;Batterie-Experimente, Stromkreis-Bausätze, Glühbirne anschließen
Das Kind entdeckt verschiedene Vogelarten im Garten und benennt Unterschiede.;Natur und Technik;Natur;Tierbeobachtung;Förderung der Artenkenntnis und Achtsamkeit;4+ Jahre;Vogelbestimmungskarten, Vogelstimmen hören, Beobachtungsstation
Das Kind konstruiert ein Auto aus Bausteinen mit beweglichen Rädern.;Natur und Technik;Technik;Bewegungsmechanik;Förderung technischer Kreativität und Problemlösefähigkeit;5+ Jahre;Fahrzeugwerkstatt, Wettrennen mit Eigenbauten, Rollenspiele „Werkstatt“
Das Kind beobachtet begeistert, wie Schnee schmilzt.;Natur und Technik;Natur;Naturphänomene;Förderung des Interesses an physikalischen Prozessen;3+ Jahre;Schmelz-Experimente, Eiswürfelstation, Temperaturvergleich
Das Kind baut ein Fluggerät aus Papier und testet seine Flugweite.;Natur und Technik;Technik;Aerodynamik verstehen;Förderung von Experimentierfreude und naturwissenschaftlichem Denken;5+ Jahre;Flugweiten-Messstation, Papierflieger-Wettbewerb, Experimente mit Formen
Das Kind erkennt, dass Blumen sich zur Sonne drehen.;Natur und Technik;Natur;Pflanzenverhalten;Förderung von Beobachtungsfähigkeit und Umweltinteresse;4+ Jahre;Beobachtungstagebuch, Sonnenblumen pflanzen, Fotosynthese-Memory
Das Kind fragt, wie ein Fahrstuhl funktioniert.;Natur und Technik;Technik;Alltagsmechanik;Förderung von Technikverständnis im Alltag;6+ Jahre;Modell eines Fahrstuhls bauen, Forscherfragenrunde, Bilderbuch „Wie funktioniert das?“
Das Kind ordnet Steine nach Größe und Gewicht.;Natur und Technik;Natur;Materialerkundung;Förderung taktiler Differenzierung und naturwissenschaftlicher Ordnung;3+ Jahre;Steinwaage bauen, Fühlbox, Steinsammlung mit Etiketten
Das Kind benutzt Werkzeuge korrekt und baut ein Holzmodell.;Natur und Technik;Technik;Werkzeugkompetenz;Förderung von handwerklichen Fähigkeiten und Sicherheit;6+ Jahre;Werkbank für Kinder, Einführung in Werkzeuge, Holzwerkstatt-Projekte
Das Kind entdeckt eine Schnecke und beobachtet ihre Bewegung.;Natur und Technik;Natur;Tiere im Detail beobachten;Förderung von Achtsamkeit und Naturbegegnung;3+ Jahre;Beobachtungsterrarium, Schneckentagebuch, Geschichten über Kriechtiere
Das Kind fragt, warum Flugzeuge fliegen können.;Natur und Technik;Technik;Luft und Auftrieb;Förderung physikalischer Grundverständnisse;5+ Jahre;Luft-Experimente, Papierflieger mit Gewichten, Video „Wie fliegt ein Flugzeug?“
Das Kind gießt regelmäßig die Pflanzen im Gruppenraum.;Natur und Technik;Natur;Verantwortung für Natur;Förderung von Pflegebewusstsein und Umweltverantwortung;3+ Jahre;Gießdienst, Pflanzenpaten, Wachstumsverlauf dokumentieren
Das Kind testet verschiedene Unterlagen, um ein Auto schneller rollen zu lassen.;Natur und Technik;Technik;Reibung und Materialwirkung;Förderung experimenteller Neugier;5+ Jahre;Fahrbahnversuche, Zeitmessung, Material-Memory
Das Kind entdeckt, dass Spinnen Netze in bestimmten Ecken bauen.;Natur und Technik;Natur;Tiere und Lebensräume;Förderung von Naturbeobachtung und Verständnis für Tierverhalten;4+ Jahre;Spinnennetz-Fensterbilder, Spuren suchen, Insektenquiz
Das Kind verwendet einfache Schaltkreise, um ein Licht zum Leuchten zu bringen.;Natur und Technik;Technik;Elektronik-Grundlagen;Förderung technischer Bildung und Selbstwirksamkeit;6+ Jahre;Lichtschalter bauen, Stromweg nachzeichnen, Forscherwerkstatt
Das Kind bemerkt, dass Regen den Sand weicher macht.;Natur und Technik;Natur;Wetterphänomene;Förderung des Umweltbewusstseins und Naturverstehens;3+ Jahre;Regenprotokoll, Matschtagebuch, Experimente mit Wasser und Erde
Das Kind erkundet mit einer Lupe die Struktur eines Blattes.;Natur und Technik;Natur;Feinstruktur in der Natur;Förderung der Detailwahrnehmung und Konzentration;4+ Jahre;Lupenstation, Blattskelette herstellen, Blattadern nachzeichnen
Das Kind fragt, wie ein Staubsauger funktioniert.;Natur und Technik;Technik;Saug- und Luftsysteme;Förderung der Alltagsneugier und Technikerschließung;5+ Jahre;Haushaltsgeräte untersuchen, zerlegbare Geräte, Luftstrom-Experimente
Das Kind entdeckt Moos zwischen Pflastersteinen und fragt, warum es dort wächst.;Natur und Technik;Natur;Pflanzenanpassung;Förderung des ökologischen Verständnisses und Pflanzenbeobachtung;5+ Jahre;Mikro-Lebensräume entdecken, Moosprojekte, Experiment Licht und Schatten
Das Kind untersucht, was ein Magnet anzieht und was nicht.;Natur und Technik;Technik;Magnetismus;Förderung physikalischer Grunderfahrungen und Materialkenntnis;4+ Jahre;Magnetangelspiel, Sortieraufgaben, Forscherfrage-Runden
Das Kind interessiert sich für den Aufbau eines Fahrrads.;Natur und Technik;Technik;Funktion technischer Geräte;Förderung technischer Alltagsbildung;5+ Jahre;Fahrradteile benennen, Werkstatttag, "Was macht was?"-Bilderbuch
Das Kind untersucht, ob Samen im Dunkeln keimen.;Natur und Technik;Natur;Pflanzenwachstum;Förderung von naturwissenschaftlichem Denken und Geduld;5+ Jahre;Keimversuch mit Licht/Dunkel, Wachstumstagebuch, Sonnen-Fensterbank
Das Kind baut mit Magnetbausteinen stabile Konstruktionen.;Natur und Technik;Technik;Konstruktionsprinzipien;Förderung räumlicher Vorstellung und technischer Kreativität;5+ Jahre;Bauwettbewerb, Magnetspiel-Tage, Freies Konstruieren
Das Kind beschreibt, wie ein Schatten entsteht.;Natur und Technik;Natur;Licht und Schatten;Förderung naturwissenschaftlicher Denkprozesse;4+ Jahre;Schattenraten, Sonnenverlauf beobachten, Experiment „Schattenlauf“
Das Kind beobachtet, wie sich Wasser in der Sonne erwärmt.;Natur und Technik;Natur;Wärme und Energie;Förderung von Umweltwahrnehmung und Ursache-Wirkung-Verständnis;5+ Jahre;Sonnenenergie-Projekte, Wasserschale im Licht, Thermometer einführen
Das Kind möchte einen Bumerang bauen und ausprobieren.;Natur und Technik;Technik;Bewegung und Rotation;Förderung von physikalischem Experimentieren und Planung;6+ Jahre;Bumerang basteln, Wurfübungen, Flugbahn analysieren
Das Kind entdeckt, dass die Uhrzeiger sich unterschiedlich schnell bewegen.;Natur und Technik;Technik;Zeitverständnis und Mechanik;Förderung des technischen Zeitbewusstseins;6+ Jahre;Uhren basteln, Sekundenmessungen, Alltag mit der Uhr
Das Kind beobachtet, wie eine Raupe ein Blatt frisst.;Natur und Technik;Natur;Tierverhalten;Förderung von Achtsamkeit gegenüber natürlichen Lebensprozessen;4+ Jahre;Raupen-Tagebuch, Bilderbuch "Die kleine Raupe", Beobachtung mit Lupe
Das Kind konstruiert einen funktionierenden Hebel aus Holzstücken.;Natur und Technik;Technik;Hebelwirkung;Förderung technischer Prinzipien durch eigenes Ausprobieren;5+ Jahre;Hebelstation, Rollenspiel "Bauarbeiter", Experimentierecke
Das Kind sammelt verschiedene Blätter und vergleicht deren Form.;Natur und Technik;Natur;Pflanzenvielfalt;Förderung von Differenzierungsfähigkeit und Naturwissen;3+ Jahre;Blättermemory, Sammelalben, Spaziergang mit Suchlisten
Das Kind baut eine einfache Brücke aus Bauklötzen und testet ihre Stabilität.;Natur und Technik;Technik;Statik und Konstruktion;Förderung des Konstruktionsverständnisses durch freies Bauen;5+ Jahre;Brücken-Challenge, Lego-Station, Fotos der Bauwerke machen
Das Kind fragt, warum es im Herbst kälter wird.;Natur und Technik;Natur;Jahreszeitenwandel;Förderung des Umweltverständnisses und der Beobachtungsgabe;4+ Jahre;Jahreszeitenkreis, Wettertagebuch, Lieder zu den Jahreszeiten
Das Kind baut ein Windrad aus Papier und beobachtet, wie es sich dreht.;Natur und Technik;Technik;Energie durch Bewegung;Förderung von Experimentierfreude und Verständnis für Windkraft;5+ Jahre;Windrad-Basteln, Fön-Experimente, Windgeschichten
Das Kind vergleicht Eierschalen, Steine und Holzstücke nach Festigkeit.;Natur und Technik;Natur;Materialeigenschaften;Förderung von taktiler Differenzierung und Sachkenntnis;4+ Jahre;Fühlkisten, Teststationen, Hammer-Experimente mit Schutz
Das Kind konstruiert aus Zahnrädern eine drehbare Figur.;Natur und Technik;Technik;Mechanik und Bewegung;Förderung der Kombinationsfähigkeit und technischer Neugier;6+ Jahre;Zahnrad-Sets, Konstruktionspläne zeichnen, Werkbanknutzung
Das Kind entdeckt beim Spaziergang Ameisenstraßen und fragt nach ihrem Ziel.;Natur und Technik;Natur;Insektenverhalten;Förderung von Naturbeobachtung und Verständnis für Tierstrukturen;4+ Jahre;Ameisenfilm, Bau einer „Ameisenstraße“, Geschichten über Insekten
Das Kind experimentiert mit Magneten und stellt fest, was haftet.;Natur und Technik;Technik;Magnetismus;Förderung physikalischer Grunderfahrungen;4+ Jahre;Magnetkoffer, Experimente mit verschiedenen Materialien, Magnetspiele
Das Kind riecht an Kräutern im Hochbeet und benennt sie.;Natur und Technik;Natur;Pflanzensinne;Förderung von Sinneswahrnehmung und Pflanzenwissen;3+ Jahre;Kräuterstation, Kochspiele, Duftmemory
Das Kind fragt, wie ein Aufzug funktioniert und zeichnet ein Modell.;Natur und Technik;Technik;Technik im Alltag;Förderung von Funktionsverständnis technischer Geräte;6+ Jahre;Aufzugsmodell basteln, Mini-Experimente mit Gewichten, Gespräch über Schwerkraft
Das Kind beobachtet, wie der Regen Pfützen entstehen lässt.;Natur und Technik;Natur;Wetter und Wasser;Förderung von Verständnis für Naturprozesse;3+ Jahre;Regenspaziergang, Wasserstation, „Wasserkreislauf“-Bildbuch
Das Kind verbindet Röhrenteile so, dass eine Kugel hindurchrollt.;Natur und Technik;Technik;Logisches Denken;Förderung räumlicher Vorstellung und vorausschauender Planung;5+ Jahre;Murmelbahn bauen, Routen zeichnen, „Was passiert als Nächstes?“-Spiel
Das Kind entdeckt ein Vogelnest im Baum und fragt, wie es gebaut wird.;Natur und Technik;Natur;Tierbauten;Förderung von Tierwissen und Naturverständnis;4+ Jahre;Nestmaterialien sammeln, Nester nachbauen, Vogelgeschichten
Das Kind interessiert sich für die Funktion eines Wasserhahns.;Natur und Technik;Technik;Wassersteuerung;Förderung technischer Alltagskompetenz;5+ Jahre;Wasserstation mit Schläuchen, Beobachtungen in Küche/Bad, Gespräch über Wasserkreisläufe
Das Kind beobachtet Schmetterlinge und fragt nach ihrer Verwandlung.;Natur und Technik;Natur;Metamorphose;Förderung des Wissens über Lebenszyklen;4+ Jahre;Schmetterlingszucht, Raupen-Tagebuch, Bastelarbeit "Lebenszyklus"
Das Kind baut eine einfache Waage und wiegt verschiedene Gegenstände.;Natur und Technik;Technik;Gewicht und Gleichgewicht;Förderung mathematisch-technischer Erfahrungen;5+ Jahre;Selbstbauwaage, Wiege-Wettbewerb, Schätzspiele
Das Kind entdeckt, dass eine Blume am Nachmittag geschlossen ist.;Natur und Technik;Natur;Pflanzenrhythmen;Förderung von Beobachtungsgabe und Naturverständnis;3+ Jahre;Blumen-Tagebuch, Fotodokumentation, Rhythmus-Uhr
Das Kind fragt, wie ein Mixer funktioniert.;Natur und Technik;Technik;Haushaltsgeräte verstehen;Förderung von technischem Alltagswissen;5+ Jahre;Mixer-Station (betreut), Obst zerkleinern, Mixer zeichnen
Das Kind vergleicht Eissorten im Schmelzverhalten.;Natur und Technik;Natur;Zustandsveränderung;Förderung von Interesse an Temperatur und Aggregatzuständen;4+ Jahre;Eis schmelzen lassen, Uhr messen, Beobachtungsbogen
Das Kind baut ein „Haus“ aus Kartons mit Türen und Fenstern.;Natur und Technik;Technik;Raumplanung;Förderung kreativer Konstruktion und funktionaler Planung;5+ Jahre;Kartons mit Werkzeug bereitstellen, Hausbau-Aktion, Fotoserie
Das Kind untersucht mit der Lupe die Flügel eines toten Käfers.;Natur und Technik;Natur;Feinstrukturen;Förderung von Detailwahrnehmung und Naturinteresse;4+ Jahre;Lupenführung, Beobachtungsblätter, Bücher über Insekten
Das Kind erklärt, wie ein Staudamm Wasser anstaut.;Natur und Technik;Technik;Wasserdruck und Stauprinzipien;Förderung physikalischen Verständnisses durch Modelle;6+ Jahre;Mini-Staudamm bauen, Wasserspiele, Bachexkursion
Das Kind baut eine Kugelbahn mit Kurven und Rampen.;Natur und Technik;Technik;Bewegung und Schwerkraft;Förderung von motorischem Feingefühl und Ursache-Wirkung;5+ Jahre;Holzbahnstation, Gruppenarbeit „Längste Bahn“, Dokumentation in Bildern
Das Kind erkennt Vogelspuren im Schnee.;Natur und Technik;Natur;Tierspuren lesen;Förderung naturkundlicher Beobachtungskompetenz;4+ Jahre;Tierspurenkarten, Ausflug in den Wald, Spurensuche im Garten
Das Kind testet verschiedene Materialien im Wasser auf Schwimmfähigkeit.;Natur und Technik;Technik;Auftrieb und Materialverhalten;Förderung forschenden Lernens;5+ Jahre;Schwimmteststation, „Sinkt oder schwimmt?“-Tabelle, Gesprächsrunden
Das Kind entdeckt ein Spinnennetz mit Tautropfen.;Natur und Technik;Natur;Feuchtigkeit und Struktur;Förderung der Naturbeobachtung und Wertschätzung;3+ Jahre;Morgenrunde über Tau, Spinnennetz-Fensterbilder, Fotosafari
Das Kind fragt, warum sich Flugzeugflügel wölben.;Natur und Technik;Technik;Auftrieb und Formgebung;Förderung technischer und physikalischer Neugier;6+ Jahre;Flügel basteln, Papierflieger-Vergleich, Experiment mit Luftstrom
Das Kind beobachtet, wie ein Ast unter Schneelast nachgibt.;Natur und Technik;Natur;Kraft und Naturwirkung;Förderung des Verständnisses für physikalische Naturvorgänge;5+ Jahre;Beobachtungsrundgang, Schneetagebuch, Mini-Modelle bauen
Das Kind beobachtet, wie Regentropfen an der Fensterscheibe herunterlaufen.;Natur und Technik;Natur;Wasserverhalten;Förderung des Interesses an natürlichen Phänomenen;3+ Jahre;Regentropfenrennen, Beobachtung mit Lupe, Wasserfarbenbilder
Das Kind fragt, warum Eisen rostet.;Natur und Technik;Natur;Materialveränderung;Förderung des Verständnisses chemischer Prozesse;6+ Jahre;Rost-Experiment, Eisen im Wasser lagern, Vergleich mit Edelstahl
Das Kind fragt, warum Holz schwimmt und Steine sinken.;Natur und Technik;Natur;Materialeigenschaften;Förderung der Neugier auf Stoffeigenschaften;4+ Jahre;Schwimm-/Sinke-Versuche, Wasserteststation, Materialsortierspiele
Das Kind interessiert sich für Tier-Spuren im Schnee.;Natur und Technik;Natur;Tierspuren erkennen;Förderung naturkundlicher Beobachtungsfähigkeit;5+ Jahre;Spurensuche im Garten, Abdrucke machen, Bilderbuch zu Tierspuren
Das Kind will wissen, warum der Schatten sich bewegt.;Natur und Technik;Natur;Licht und Schatten;Förderung des Verständnisses für Sonnenstand und Lichtverhalten;4+ Jahre;Schattenrallye, Sonnenuhr bauen, Schattenbilder malen
Das Kind beobachtet, wie Wasser verdunstet.;Natur und Technik;Natur;Wasserkreislauf;Förderung von Verständnis für Naturprozesse;5+ Jahre;Wasserschalen beobachten, Fenster beschlagen lassen, Mini-Terrarium
Das Kind fragt, warum ein Ball bergab rollt.;Natur und Technik;Natur;Schwerkraft;Förderung von physikalischem Grundverständnis;4+ Jahre;Rollbahn bauen, Kugelrennen, Hang-Experimente
Das Kind bemerkt, dass Magneten Metall anziehen.;Natur und Technik;Technik;Magnetismus;Förderung von technischem Interesse und Experimentierfreude;5+ Jahre;Magnetspielstation, Magnet-Memory, Angelspiel mit Metallteilen
Das Kind erkennt, dass Pflanzen zur Sonne wachsen.;Natur und Technik;Natur;Pflanzenverhalten;Förderung naturwissenschaftlicher Beobachtungen;4+ Jahre;Pflanzen aufstellen und drehen, Zeitraffer-Videos, Sonnenblumen pflegen
