Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter;Impuls oder Aktivität
Das Kind baut gerne mit verschiedenen Materialien und konstruiert Gegenstände.;Ästhetik und Gestaltung;Kunst;Förderung der Konstruktionsfähigkeit;4+;Fotos echter Bauwerke anbieten;Bauklötze bauen, Konstruktionsspiele mit verschiedenen Materialien, Baupläne erstellen, Bauwerke aus Naturmaterialien bauen
Das Kind malt und zeichnet gerne im Stehen oder Sitzen.;Ästhetik und Gestaltung;Kunst;Förderung der Freude am Malen und Zeichnen;3+;Papier auf Unterseite des Tisches kleben;Malen mit verschiedenen Stiften, Malen mit verschiedenen Farben, Malen auf verschiedenen Untergründen, Malen mit verschiedenen Techniken
Das Kind arbeitet gerne mit verschiedenen Farbmaterialien und Werkzeugen.;Ästhetik und Gestaltung;Kunst;Förderung der Materialerfahrung und der Werkzeugnutzung;4+;Schwamm, Stempel, Kartoffelstempel;Malen mit verschiedenen Pinseln, Malen mit verschiedenen Farben, Malen mit verschiedenen Materialien, Malen mit verschiedenen Techniken
Das Kind interessiert sich für verschiedene Verbindungsmethoden und -materialien.;Ästhetik und Gestaltung;Kunst;Förderung der Materialbearbeitungskompetenz;4+;Kleister herstellen, Bauen mit Klebeband;Kleben mit verschiedenen Klebstoffen, Kleben mit verschiedenen Materialien, Kleben mit verschiedenen Techniken, Kleben auf verschiedenen Untergründen
Das Kind bewegt sich gerne zu Klängen und Rhythmen und zeigt dabei verschiedene Bewegungen.;Ästhetik und Gestaltung;Musik;Förderung der rhythmischen Bewegung;3+;Zu Klängen und Rhythmen bewegen;Tanz mit Tüchern, Tanz zu verschiedenen Musikstilen, Bewegungsspiele mit Bällen, Tanz mit Rhythmusinstrumenten
Das Kind singt oder summt gerne beim Spielen oder Bewegen.;Ästhetik und Gestaltung;Musik;Förderung der Freude am Singen und Summen;3+;Kreisspiele, Singspiele;Lieder mit Bewegungen begleiten, Lieder mit Instrumenten begleiten, Lieder mit Bodypercussion begleiten, Lieder mit verschiedenen Sprachen singen
Das Kind versucht, neue Melodien oder Rhythmen zu erfinden.;Ästhetik und Gestaltung;Musik;Förderung der musikalischen Kreativität;4+;Freies Musizieren mit Orffinstrumenten;Eigene Lieder erfinden, eigene Rhythmen erfinden, eigene Melodien erfinden, eigene Musikstücke erfinden
Das Kind versucht, Rhythmen zu wiederholen und zu halten.;Ästhetik und Gestaltung;Musik;Förderung des Rhythmusgefühls;4+;Rhythmen wiederholen und halten;Rhythmusspiele mit Klatsch und Stampfen, Rhythmusinstrumente spielen, Bewegungslieder, Tanzspiele
Das Kind spielt nachahmende oder explorative Spiele.;Ästhetik und Gestaltung;Kunst;Förderung verschiedener Spielarten;2+;Verschiedene Spielarten ausprobieren;Rollenspiele, Konstruktionsspiele, Bewegungsspiele, Kreisspiele
Das Kind trägt gerne etwas vor oder hört und sieht lieber zu.;Ästhetik und Gestaltung;Theaterspiel;Förderung des Interesses an Präsentation;4+;Vorführen oder zuschauen;Vorlesen, Theaterstücke vorspielen, Musikstücke vorspielen, Kunstwerke präsentieren
Das Kind mag es, auf der Bühne zu sein.;Ästhetik und Gestaltung;Theaterspiel;Förderung des Interesses an Bühnenauftritten;4+;Auf der Bühne sein;Theaterstücke aufführen, Musikstücke aufführen, Kunstwerke präsentieren, Rollenspiele aufführen
Das Kind zeigt Interesse an Geräuschen in der natürlichen Umwelt.;Ästhetik und Gestaltung;Kunst;Förderung der auditiven Wahrnehmung;3+;Naturgeräusche beobachten;Geräusche aufnehmen, Geräusche nachahmen, Geräusche unterscheiden, Geräusche mit Instrumenten darstellen
Das Kind reagiert auf Musik mit Bewegung und Applaus.;Ästhetik und Gestaltung;Musik;Förderung der musikalischen Reaktion;3+;Auf Musik reagieren;Tanz mit Tüchern, Tanz zu verschiedenen Musikstilen, Bewegungsspiele mit Bällen, Tanz mit Rhythmusinstrumenten
Das Kind erkennt und benennt Lichtveränderungen im Raum.;Ästhetik und Gestaltung;Kunst;Förderung der visuellen Wahrnehmung;3+;Lichtveränderungen beobachten;Lichtspiele mit Taschenlampen, Lichtspiele mit Spiegeln, Lichtspiele mit Schatten, Lichtspiele mit Farben
Das Kind äußert Vorlieben für bestimmte Farben in verschiedenen Kontexten.;Ästhetik und Gestaltung;Kunst;Förderung der Farbwahrnehmung;3+;Farben benennen und zuordnen;Farbexperimente, Farbkreise malen, Farben mischen, Farbcollagen gestalten
Das Kind experimentiert mit verschiedenen Materialbeschaffenheiten.;Ästhetik und Gestaltung;Kunst;Förderung der taktilen Wahrnehmung;3+;Materialien erfühlen;Tastspiele, Fühlkisten, Materialcollagen, Materialbilder
Das Kind erzählt von künstlerischen Erfahrungen in der Familie.;Ästhetik und Gestaltung;Kunst;Förderung des Interesses an familiären künstlerischen Erfahrungen;4+;Familienerlebnisse erzählen;Familienfotos anschauen, Familienvideos anschauen, Familiengespräche über Kunst, Familienausflüge zu Kunstausstellungen
Das Kind erzeugt gerne Geräusche mit dem Körper.;Ästhetik und Gestaltung;Kunst;Förderung der auditiven Wahrnehmung und der Körperwahrnehmung;3+;Körpergeräusche erzeugen;Geräusche mit dem Mund erzeugen, Geräusche mit den Händen erzeugen, Geräusche mit den Füßen erzeugen, Geräusche mit dem Körper erzeugen
Das Kind äußert Staunen über Natur und Kultur.;Ästhetik und Gestaltung;Kunst;Staunen;Förderung der Fähigkeit, zu staunen und zu genießen;3+;Naturbeobachtungen, Museumsbesuche
Das Kind drückt seine Fantasie durch Malen, Basteln oder Spielen aus.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Fantasie;Förderung der Fantasie und der Kreativität;3+;Freies Malen, Basteln, Rollenspiele
Das Kind ordnet Farben und Formen seinen Gefühlen zu.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Emotionale Kompetenz;Förderung der emotionalen Kompetenz;4+;Malen mit Farben, die Gefühle ausdrücken
Das Kind nimmt Geräusche und Klänge in seiner Umgebung wahr.;Ästhetik und Gestaltung;Kunst;Wahrnehmung;Förderung der auditiven Wahrnehmung;3+;Geräuschewanderungen, Klangspiele
Das Kind erlebt Klänge, Geräusche und Stille bewusst.;Ästhetik und Gestaltung;Kunst;Achtsamkeit;Förderung der Achtsamkeit;3+;Stilleübungen, Klangmeditationen
Das Kind probiert verschiedene künstlerische Ausdrucksmittel aus.;Ästhetik und Gestaltung;Kunst;Ausdrucksmittel;Förderung der experimentellen Freude;3+;Malen, Basteln, Musizieren
Das Kind kennt und schätzt seine eigenen Ausdrucksformen.;Ästhetik und Gestaltung;Kunst;Selbstwahrnehmung;Förderung der Selbstwahrnehmung;4+;Präsentation eigener Werke
Das Kind drückt Gefühle durch Musik, Bilder oder Theater aus.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Ausdruck;Förderung des expressiven Ausdrucks;4+;Musik machen, malen, Theater spielen
Das Kind entwickelt Freude am Singen, Tanzen und Bewegen zu Musik.;Ästhetik und Gestaltung;Musik;Musikalität;Förderung der musikalischen Freude;3+;Singen, tanzen, bewegen
Das Kind entwickelt Freude am Spielen, Darstellen und Sich-Verwandeln.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Spielfreude;3+;Rollenspiele, Verkleidungen
Das Kind musiziert und bewegt sich selbstbewusst zu Rhythmen.;Ästhetik und Gestaltung;Musik;Selbstbewusstsein;Förderung des Selbstbewusstseins;4+;Musik machen, tanzen
Das Kind tauscht ästhetische Empfindungen mit anderen aus.;Ästhetik und Gestaltung;Kunst;Austausch;Förderung der Kommunikationsfähigkeit;4+;Gespräche über Kunstwerke
Das Kind teilt seine Fantasie mit anderen.;Ästhetik und Gestaltung;Kunst;Teilen;Förderung der sozialen Interaktion;3+;Gemeinsame Fantasiereisen
Das Kind lernt die Werke anderer Kinder und Erwachsener kennen.;Ästhetik und Gestaltung;Kunst;Wertschätzung;Förderung der Wertschätzung von Kunst;4+;Besuch von Ausstellungen
Das Kind beteiligt sich am gemeinsamen Musizieren.;Ästhetik und Gestaltung;Musik;Kooperation;Förderung der Kooperationsfähigkeit;4+;Gemeinsames Musizieren
Das Kind äußert, wenn es zu laut oder leise ist.;Ästhetik und Gestaltung;Musik;Selbstbehauptung;Förderung der Selbstbehauptung;4+;Gesprächskreise
Das Kind lernt Unterschiede im Material kennen.;Ästhetik und Gestaltung;Kunst;Materialerfahrung;Förderung der Materialerfahrung;3+;Materialspiele, Tastboxen
Das Kind lernt verschiedene Farben und Nuancen kennen.;Ästhetik und Gestaltung;Kunst;Farbverständnis;Förderung des Farbverständnisses;3+;Farbspiele, Malen
Das Kind nimmt Klänge in der Umgebung wahr.;Ästhetik und Gestaltung;Musik;Wahrnehmung;Förderung der auditiven Wahrnehmung;3+;Geräuschewanderungen
Das Kind nimmt Melodie, Rhythmus, Tonhöhe, Klangfarbe wahr.;Ästhetik und Gestaltung;Musik;Musikverständnis;Förderung des musikalischen Verständnisses;4+;Musik hören, Instrumente ausprobieren
Das Kind lernt verschiedene Materialien und deren Verwendungsmöglichkeiten kennen.;Ästhetik und Gestaltung;Kunst;Materialerfahrung;Förderung der Materialerfahrung;4+;Bastelprojekte, Werkstattbesuche
Das Kind lernt verschiedene Fügetechniken kennen.;Ästhetik und Gestaltung;Kunst;Handwerkliche Fähigkeiten;Förderung der handwerklichen Fähigkeiten;4+;Bauprojekte, Bastelprojekte
Das Kind bewegt sich phantasievoll zu Musik.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung der rhythmischen Bewegung;3+;Tanzen, bewegen
Das Kind lernt Instrumente kennen und probiert sie aus.;Ästhetik und Gestaltung;Musik;Instrumentenkunde;Förderung des Interesses an Musikinstrumenten;4+;Instrumente ausprobieren
Das Kind entwickelt einen musikalischen Wortschatz.;Ästhetik und Gestaltung;Musik;Wortschatz;Förderung des musikalischen Wortschatzes;4+;Musik hören, Instrumente benennen
Das Kind äußert seine Gestaltungsabsichten und freut sich über wertschätzende Rückmeldungen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Selbstwirksamkeit;Förderung des Selbstbewusstseins und der Selbstwirksamkeit;4+;Gestaltungsabsichten wertschätzend begegnen
Das Kind arbeitet konzentriert an einem Gestaltungsprozess und hält sich an den Zeitrahmen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Ausdauer;Förderung der Ausdauer und der Konzentrationsfähigkeit;5+;Tägliche Zeiten für Gestaltungsprozesse einplanen
Das Kind experimentiert mit verschiedenen Materialien und entdeckt neue Gestaltungsmöglichkeiten.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialerfahrung;Förderung der Materialerfahrung und der Kreativität;3+;Materialerfahrungen ermöglichen
Das Kind zeigt Interesse an der Arbeit von Künstlerinnen und Kunstpädagogen und stellt Fragen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Künstlerische Bildung;Förderung des Interesses an Kunst und Künstlern;5+;Künstlerinnen und Kunstpädagogen einbeziehen
Das Kind singt bei Pflegesituationen und zeigt Freude an der Musik.;Ästhetik und Gestaltung;Musik;Alltagskompetenz;Förderung der Freude an Musik im Alltag;2+;Alltägliche Pflegesituationen singend begleiten
Das Kind erkundet Klänge mit dem Körper und Alltagsgegenständen.;Ästhetik und Gestaltung;Musik;Klangwahrnehmung;Förderung der Klangwahrnehmung und der Kreativität;3+;Zeit zur individuellen Erkundung von Klängen geben
Das Kind singt Lieder mit Mimik und Gestik und zeigt dabei Freude.;Ästhetik und Gestaltung;Musik;Ausdruck;Förderung des musikalischen Ausdrucks;4+;Lieder mit Mimik und Gestik begleiten
Das Kind inszeniert Alltagshandlungen im Spiel und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Rollenspielfähigkeit und der Kreativität;4+;Alltagshandlungen inszenieren
Das Kind zeigt Freude an Kniereitern und bewegt sich rhythmisch.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung der rhythmischen Bewegung;2+;Kniereiter
Das Kind erkennt verschiedene Klänge im Klangmemory.;Ästhetik und Gestaltung;Musik;Klangwahrnehmung;Förderung der auditiven Wahrnehmung;3+;Klangmemory
Das Kind experimentiert mit klingenden Materialien und entdeckt neue Klänge.;Ästhetik und Gestaltung;Musik;Klangkörper;Förderung der Klangwahrnehmung und der Kreativität;3+;Klingendes Material nutzen
Das Kind probiert verschiedene Instrumente aus und zeigt Interesse an Musik.;Ästhetik und Gestaltung;Musik;Instrumente;Förderung des Interesses an Musikinstrumenten;3+;Instrumente ausprobieren
Das Kind verkleidet sich und schlüpft in verschiedene Rollen.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Rollenspielfähigkeit und der Fantasie;3+;Verkleidungsutensilien nutzen
Das Kind hinterlässt Fuß- und Handabdrücke und zeigt Interesse an Farben.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Farberfahrung;Förderung der Farberfahrung und der Kreativität;2+;Fuß- und Handabdrücke hinterlassen
Das Kind stellt dar, wie ein Küken aus einem Ei schlüpft und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Rollenspielfähigkeit und der Kreativität;3+;"Theaterspiel ""Ein Vogel schlüpft aus"""
Das Kind drückt seine Lieblingsbeschäftigungen gestisch und mimisch aus.;Ästhetik und Gestaltung;Theaterspiel;Ausdruck;Förderung des expressiven Ausdrucks;3+;"Theaterspiel ""Ich bin ich"""
Das Kind stellt seine Träume im Spiel dar und zeigt dabei Fantasie.;Ästhetik und Gestaltung;Theaterspiel;Fantasie;Förderung der Fantasie und der Kreativität;4+;"Theaterspiel ""Ich bin ein Traum"""
Das Kind erkundet die Elemente Erde, Wasser, Feuer und Luft und stellt sie künstlerisch dar.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Elementarerfahrung;Förderung der Elementarerfahrung und der Kreativität;5+;Elemente erkunden und darstellen
Das Kind malt mit verschiedenen Stiften und Pinseln und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialerfahrung;Förderung der Materialerfahrung und der Kreativität;3+;Mit Stiften und Pinseln malen
Das Kind stellt gesammelte Gegenstände aus und präsentiert sie in einem Museum.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Präsentation;Förderung der Präsentationsfähigkeit und der Kreativität;5+;Museum des Krimskrams einrichten
Das Kind erkundet, welche Geräusche der Körper erzeugt und zeigt dabei Neugierde.;Ästhetik und Gestaltung;Musik;Körperwahrnehmung;Förderung der Körperwahrnehmung und der auditiven Wahrnehmung;3+;Welche Geräusche erzeugt mein Körper?
Das Kind äußert, in welcher Stimmung es welche Musik hören oder machen möchte.;Ästhetik und Gestaltung;Musik;Selbstwahrnehmung;Förderung der Selbstwahrnehmung und des musikalischen Geschmacks;4+;In welcher Stimmung welche Musik?
Das Kind erzählt, welche Musik die Eltern hören und zeigt Interesse an Musik.;Ästhetik und Gestaltung;Musik;Familienerfahrungen;Förderung des Interesses an Musik und Familienerfahrungen;4+;Welche Musik hören meine Eltern?
Das Kind inszeniert kleine Szenen und improvisiert zu Themen.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Rollenspielfähigkeit und der Kreativität;4+;Kleine Inszenierungen und Improvisationen
Das Kind erfindet ein Hörspiel und zeigt dabei Fantasie und Kreativität.;Ästhetik und Gestaltung;Musik;Kreativität;Förderung der musikalischen Kreativität und der Erzählfähigkeit;5+;Ein Hörspiel erfinden
Das Kind gestaltet ein Atelier mit Farben und Papieren.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Raumgestaltung;Förderung der Raumgestaltungskompetenz und der Kreativität;5+;Atelier einrichten
Das Kind nutzt verschiedene Materialien zum Gestalten und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialerfahrung;Förderung der Materialerfahrung und der Kreativität;3+;Materialien bereitstellen
Das Kind sammelt Schätze und präsentiert sie.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Präsentation;Förderung der Präsentationsfähigkeit und der Kreativität;4+;Schätze sammeln und präsentieren
Das Kind experimentiert mit klingenden Natur- und Alltagsmaterialien.;Ästhetik und Gestaltung;Musik;Klangkörper;Förderung der Klangwahrnehmung und der Kreativität;3+;Klingendes Material zum Experimentieren
"Das Kind erzählt von ""Schätzen"", die es von zu Hause mitgebracht hat und zeigt sie anderen Kindern.";Ästhetik und Gestaltung;Kunst;Teilen;Förderung der sozialen Interaktion und des Teilens;3+;"""Schätze"" mitbringen lassen"
Das Kind zeigt Interesse an den musikalischen Vorlieben anderer Kinder und tauscht sich darüber aus.;Ästhetik und Gestaltung;Musik;Austausch;Förderung des Austauschs und der Akzeptanz verschiedener Musikgeschmäcker;4+;Musikalische Vorlieben anderer Kinder kennenlernen
Das Kind hört aufmerksam verschiedene Musikarten und -richtungen und äußert seine Eindrücke.;Ästhetik und Gestaltung;Musik;Hören;Förderung des bewussten Hörens und der musikalischen Wahrnehmung;4+;Regelmäßige Gelegenheiten zum bewussten Hören
Das Kind spielt gerne mit bestimmten Accessoires und erfindet damit Geschichten.;Ästhetik und Gestaltung;Theaterspiel;Fantasie;Förderung der Fantasie und der Kreativität;3+;Mit Accessoires spielen lassen
Das Kind erzählt von Lieblingsgeschichten und -büchern und zeigt Interesse an Literatur.;Ästhetik und Gestaltung;Kunst;Literatur;Förderung des Interesses an Literatur;3+;Lieblingsgeschichten/-bücher kennenlernen
Das Kind baut, töpfert, malt oder collagiert und zeigt dabei Freude an der Gestaltung.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Kreativität;Förderung der Kreativität und der gestalterischen Fähigkeiten;3+;Verschiedene Gestaltungsmöglichkeiten anbieten
Das Kind bevorzugt bestimmte Materialien und zeigt Interesse an deren Eigenschaften.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialerfahrung;Förderung der Materialerfahrung und der experimentellen Freude;3+;Verschiedene Materialien anbieten
Das jüngste Kind zeigt Vorlieben für bestimmte Aktivitäten und Materialien.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Vorlieben;Förderung der individuellen Vorlieben und Interessen;2+;Vorlieben der jüngsten Kinder berücksichtigen
Das Kind nimmt an musikalischen Traditionen oder Ritualen teil und zeigt Interesse an deren Bedeutung.;Ästhetik und Gestaltung;Musik;Traditionen;Förderung des Interesses an musikalischen Traditionen und Ritualen;4+;Musikalische Traditionen/Rituale beobachten
Das Kind nimmt an musikalischen Aktivitäten teil, die von den Pädagoginnen und Pädagogen angeboten werden.;Ästhetik und Gestaltung;Musik;Aktivitäten;Förderung der Teilnahme an musikalischen Aktivitäten;3+;Musikalische Aktivitäten beobachten
Das Kind zeigt Interesse an Handwerkern oder Künstlern und stellt Fragen zu deren Arbeit.;Ästhetik und Gestaltung;Kunst;Berufe;Förderung des Interesses an künstlerischen Berufen;5+;Interesse an Handwerkern/Künstlern beobachten
Das Kind hört Musikern und Musikerinnen aus Familien zu und zeigt Interesse an deren Darbietungen.;Ästhetik und Gestaltung;Musik;Darbietungen;Förderung des Interesses an musikalischen Darbietungen;4+;Musiker/Musikerinnen aus Familien beobachten
Das Kind nimmt an speziellen Musik-, Kunst- und Theaterangeboten teil und zeigt dabei Freude.;Ästhetik und Gestaltung;Musik;Angebote;Förderung der Teilnahme an künstlerischen Angeboten;3+;Spezielle Angebote beobachten
"Das Kind bringt ""Schätze"" von zu Hause mit und erzählt von deren Bedeutung.";Ästhetik und Gestaltung;Kunst;Teilen;Förderung der sozialen Interaktion und des Teilens;3+;"""Schätze"" mitbringen lassen"
Das Kind tauscht sich mit anderen Kindern über ihre musikalischen Vorlieben aus.;Ästhetik und Gestaltung;Musik;Austausch;Förderung des Austauschs und der Akzeptanz verschiedener Musikgeschmäcker;4+;Musikalische Vorlieben anderer Kinder kennenlernen
Das Kind hört aufmerksam verschiedene Musikinstrumente und erkennt deren Klänge.;Ästhetik und Gestaltung;Musik;Hören;Förderung des bewussten Hörens und der musikalischen Wahrnehmung;4+;Regelmäßige Gelegenheiten zum bewussten Hören
Das Kind spielt mit Tüchern und baut damit Höhlen.;Ästhetik und Gestaltung;Theaterspiel;Fantasie;Förderung der Fantasie und der Kreativität;3+;Mit Accessoires spielen lassen
Das Kind betrachtet Bilderbücher und erzählt von den Geschichten.;Ästhetik und Gestaltung;Theaterspiel;Literatur;Förderung des Interesses an Literatur;3+;Lieblingsgeschichten/-bücher kennenlernen
Das Kind malt mit Fingerfarben und zeigt dabei Freude an der sinnlichen Erfahrung.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Kreativität;Förderung der Kreativität und der gestalterischen Fähigkeiten;3+;Verschiedene Gestaltungsmöglichkeiten anbieten
Das Kind knetet Ton und formt daraus Figuren.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialerfahrung;Förderung der Materialerfahrung und der experimentellen Freude;3+;Verschiedene Materialien anbieten
Das Kind entwickelt eigene künstlerische Ideen und motiviert andere, daran teilzunehmen.;Ästhetik und Gestaltung;Ich-Kompetenzen;Kreativität;Förderung der Kreativität und der Fähigkeit, andere zu begeistern;5+;Eigene Ideen entwickeln
Das Kind tauscht sich mit anderen Kindern über eigene Werke und die anderer aus.;Ästhetik und Gestaltung;Kunst;Kommunikation;Förderung der Kommunikationsfähigkeit und des Interesses an Kunst;4+;Über eigene Werke kommunizieren
Das Kind stellt gemeinsam mit anderen etwas her und gestaltet es.;Ästhetik und Gestaltung;Kunst;Kooperation;Förderung der Kooperationsfähigkeit und der Kreativität;4+;Gemeinsam etwas herstellen
Das Kind stellt eigene Geschichten und Erlebnisse szenisch vor.;Ästhetik und Gestaltung;Theaterspiel;Ausdruck;Förderung des expressiven Ausdrucks und der Erzählfähigkeit;5+;Eigene Geschichten szenisch vorstellen
Das Kind erkennt und schätzt die Ausdrucksformen anderer Menschen.;Ästhetik und Gestaltung;Kunst;Empathie;Förderung der Empathie und der Wertschätzung von Vielfalt;4+;Ausdrucksformen anderer Menschen bewusst werden
Das Kind tauscht ästhetische Urteile mit anderen aus und respektiert deren Meinungen.;Ästhetik und Gestaltung;Kunst;Kommunikation;Förderung der Kommunikationsfähigkeit und der Perspektivenübernahme;4+;Ästhetische Urteile austauschen
Das Kind tauscht sich über Wahrnehmungen, Gefühle und Bewertungen bezüglich künstlerischer Erlebnisse aus.;Ästhetik und Gestaltung;Kunst;Reflexion;Förderung der Reflexionsfähigkeit und der Perspektivenübernahme;4+;Über künstlerische Erlebnisse austauschen
Das Kind erkennt die künstlerischen Ausdrucksformen anderer Kinder. Es lobt die Bilder von anderen Kindern.;Ästhetik und Gestaltung;Kunst;Wertschätzung;Förderung der Wertschätzung von Vielfalt;4+;Künstlerische Ausdrucksformen anderer Kinder bewusst werden
Das Kind achtet jedes Kind mit seinen individuellen Ausdrucksmöglichkeiten.;Ästhetik und Gestaltung;Kunst;Inklusion;Förderung der Inklusion und der Wertschätzung von Individualität;4+;Jedes Kind achten
Das Kind stellt gemeinsam mit anderen etwas her und tauscht sich darüber aus.;Ästhetik und Gestaltung;Kunst;Kooperation;Förderung der Kooperationsfähigkeit und der Kommunikation;4+;Gemeinsam etwas herstellen und austauschen
Das Kind produziert gemeinsam mit anderen Tänze, Musik- und Theaterstücke.;Ästhetik und Gestaltung;Theaterspiel;Kooperation;Förderung der Kooperationsfähigkeit und der Kreativität;5+;Gemeinsam Tänze, Musik- und Theaterstücke produzieren
Das Kind stellt gemeinsam Szenen, Geschichten oder Ereignisse im Spiel dar.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Rollenspielfähigkeit und der Kreativität;4+;Szenen im Spiel darstellen
Das Kind findet und benennt Gemeinsamkeiten und Unterschiede beim Werken/Gestalten/Arbeiten.;Ästhetik und Gestaltung;Kunst;Reflexion;Förderung der Reflexionsfähigkeit und der Fähigkeit, Gemeinsamkeiten und Unterschiede zu erkennen;4+;Gemeinsamkeiten und Unterschiede benennen
Das Kind drückt sich gemeinsam mit anderen phantasievoll in künstlerischen Tätigkeiten aus.;Ästhetik und Gestaltung;Kunst;Kreativität;Förderung der Kreativität und der Kooperationsfähigkeit;4+;Phantasievoll ausdrücken
Das Kind handhabt Werkzeuge sachgerecht.;Ästhetik und Gestaltung;Kunst;Handwerkliche Fähigkeiten;Förderung der handwerklichen Fähigkeiten und der Sicherheit;4+;Werkzeuge sachgerecht handhaben
Das Kind hält beim gemeinsamen Singen Rhythmus und Melodie entwicklungsangemessen ein.;Ästhetik und Gestaltung;Musik;Musikalische Fähigkeiten;Förderung der musikalischen Fähigkeiten und der Kooperationsfähigkeit;4+;Rhythmus und Melodie einhalten
Das Kind gestaltet Ausstellungen mit und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Präsentation;Förderung der Präsentationsfähigkeit und der Kreativität;5+;Ausstellungen selber gestalten
Das Kind betrachtet Kunst- und Bauwerke und tauscht sich darüber aus.;Ästhetik und Gestaltung;Kunst;Betrachtung;Förderung der Kunstbetrachtung und der Kommunikationsfähigkeit;5+;Zeiten für gemeinsame Betrachtung einräumen
Das Kind nimmt an musikalischen Ritualen teil und zeigt Interesse an deren Bedeutung.;Ästhetik und Gestaltung;Musik;Rituale;Förderung des Interesses an musikalischen Ritualen und der Gemeinschaft;4+;Musikalische Rituale nutzen
Das Kind hört bewusst Musikstücke und tauscht sich darüber aus.;Ästhetik und Gestaltung;Musik;Hören;Förderung des bewussten Hörens und der musikalischen Wahrnehmung;4+;Zeiten zum bewussten Hören einräumen
Das Kind musiziert gemeinsam mit Pädagogen oder Eltern und zeigt Freude an der Musik.;Ästhetik und Gestaltung;Musik;Kooperation;Förderung der Kooperationsfähigkeit und des Interesses an Musik;4+;Gemeinsam musizieren
Das Kind bewegt sich zur Musik und zeigt dabei Rhythmusgefühl.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung des Rhythmusgefühls und der musikalischen Bewegung;3+;Nach Musik bewegen
Das Kind gestaltet Figuren mit dem Körper und lädt andere zum Raten ein.;Ästhetik und Gestaltung;Theaterspiel;Pantomime;Förderung der nonverbalen Kommunikation und der Fantasie;4+;Figuren mit dem Körper gestalten
Das Kind spielt Alltagsszenen nach und zeigt dabei Beobachtungsgabe.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Beobachtungsgabe und der Rollenspielfähigkeit;4+;Alltagsszenen nachspielen
Das Kind baut mit verschiedenen Materialien und zeigt dabei Kreativität.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Konstruktion;Förderung der Konstruktionsfähigkeit und der Kreativität;3+;Baustoffe anbieten
Das Kind fügt verschiedene Materialien zusammen und zeigt dabei handwerkliches Geschick.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Materialbearbeitung;Förderung der handwerklichen Fähigkeiten und der Kreativität;4+;Fügematerialien und Werkzeuge anbieten
Das Kind experimentiert mit Lichtveränderungen und zeigt dabei Neugierde.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Lichteffekte;Förderung der experimentellen Freude und der Neugierde;3+;Lichtveränderungen anregen
Das Kind spielt gemeinsam mit anderen Kindern auf Instrumenten und zeigt dabei Kooperationsfähigkeit.;Ästhetik und Gestaltung;Musik;Kooperation;Förderung der Kooperationsfähigkeit und des musikalischen Zusammenspiels;4+;Instrumente anbieten
Das Kind singt Kreislieder und tanzt und zeigt dabei Freude an der Bewegung.;Ästhetik und Gestaltung;Musik;Bewegung;Förderung der Freude an Bewegung und der musikalischen Interaktion;3+;Kreislieder und -tänze
Das Kind spielt Rhythmusspiele und zeigt dabei Rhythmusgefühl.;Ästhetik und Gestaltung;Musik;Rhythmus;Förderung des Rhythmusgefühls und der musikalischen Interaktion;3+;Rhythmusspiele im Kreis
