Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind sucht aktiv den Kontakt zu anderen Kindern und Erwachsenen, um Beziehungen zu gestalten.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Beziehungsfähigkeit;Förderung der Beziehungsfähigkeit und des sozialen Miteinanders;5+ Jahre;Rollenspiele mit Beziehungsszenen, Gesprächsrunden über Beziehungen, Partnerübungen.
Das Kind spricht offen über eigene Gefühle und fragt nach Strategien zur Emotionsregulation.;Emotionen und soziale Beziehungen;Emotionen;Emotionsregulation;Förderung der Emotionsregulation und des Selbstbewusstseins;6+ Jahre;Gesprächsrunden über Gefühle, Entspannungsübungen, Rollenspiele mit Gefühlen.
Das Kind fragt nach der Wirkung des eigenen Verhaltens auf andere und reflektiert darüber.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Wirkung auf andere;Förderung des Bewusstseins für die eigene Wirkung auf andere und des sozialen Miteinanders;6+ Jahre;Gesprächsrunden über Wirkung auf andere, Rollenspiele mit Feedback, Partnerübungen.
Das Kind fragt nach der Bedeutung von Achtsamkeit und reflektiert über eigene Achtsamkeitsübungen.;Emotionen und soziale Beziehungen;Emotionen;Achtsamkeit;Förderung der Achtsamkeit und des Selbstbewusstseins;6+ Jahre;Gesprächsrunden über Achtsamkeit, Entspannungsübungen, Meditation.
Das Kind erfindet kreative Lösungen für soziale Konflikte und schlägt diese vor.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Kreativität;Förderung der sozialen Kreativität und des sozialen Miteinanders;6+ Jahre;Rollenspiele mit kreativen Lösungen, Gemeinschaftsprojekte mit kreativen Elementen, Partnerübungen mit kreativen Aufgaben.
Das Kind grüßt bekannte Menschen und verabschiedet sich;Emotionen und soziale Beziehungen;Soziale Beziehungen;Höflichkeit;Förderung von respektvollem Umgang und sozialen Normen;2+ Jahre;"Begrüßungslieder singen, Rollenspiele mit Puppen, ""Guten Morgen""-Kreis"
Das Kind nimmt tröstend Kontakt zu einem weinenden Kind auf;Emotionen und soziale Beziehungen;Soziale Beziehungen;Empathie;Förderung von Mitgefühl und sozialem Verhalten;2+ Jahre;"""Trostkoffer"" mit Plüschtieren, Rollenspiele mit traurigen Puppen, Buch: ""Der kleine Sorgenfresser"""
Das Kind übernimmt eine kleine Aufgabe in der Gruppe (z. B. Tischdecken);Emotionen und soziale Beziehungen;Soziale Beziehungen;Verantwortungsbewusstsein;Förderung von Selbstständigkeit und Gruppenzugehörigkeit;3+ Jahre;Dienste einteilen, Helfersystem in der Gruppe, Aufräumspiele
Das Kind sucht Blickkontakt und versucht, andere Kinder ins Spiel einzubeziehen;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kontaktfreude;Förderung sozialer Interaktion und Kommunikationsfähigkeiten;2+ Jahre;"Kreisspiele, gemeinsames Bauen mit Bauklötzen, Fingerspiel ""Alle meine Fingerlein"""
Das Kind zeigt stolz, was es geschafft hat, und erwartet Anerkennung;Emotionen und soziale Beziehungen;Emotionen;Selbstwertgefühl;Förderung der Selbstwirksamkeit und Selbstbestätigung;2+ Jahre;"""Ich kann das""-Tagebuch, Lobkarten verteilen, Buch: ""Du bist einmalig"""
Das Kind sagt, was es möchte oder nicht möchte;Emotionen und soziale Beziehungen;Emotionen;Selbstbehauptung;Stärkung der kommunikativen Fähigkeiten und des Selbstbewusstseins;3+ Jahre;"Rollenspiel ""Stopp, das mag ich nicht!"", Bilderbuch: ""Nein heißt Nein"", Puppenspiel mit Konfliktsituationen"
Das Kind sucht Trost bei einer Bezugsperson, wenn es traurig ist;Emotionen und soziale Beziehungen;Emotionen;Bindungsfähigkeit;Förderung der emotionalen Sicherheit und Vertrauensbildung;1,5+ Jahre;Kuscheltier-Ecke, beruhigende Rituale, gemeinsames Kuschellied
Das Kind benennt eigene Gefühle und die anderer;Emotionen und soziale Beziehungen;Emotionen;Emotionale Ausdrucksfähigkeit;Förderung des Gefühlsverständnisses und der Empathie;3+ Jahre;"Gefühls-Memory, Spiegelspiel mit Emotionen, Lied: ""Wenn du fröhlich bist"""
Das Kind nimmt aktiv an Geburtstagsfeiern teil;Emotionen und soziale Beziehungen;Soziale Beziehungen;Feste und Rituale;Förderung von Gemeinschaftsgefühl und sozialer Integration;2+ Jahre;Geburtstagskalender gestalten, Geburtstagslieder singen, Geburtstagskerzen ausblasen
Das Kind hält sich an abgesprochene Regeln beim Spielen;Emotionen und soziale Beziehungen;Soziale Beziehungen;Regelverständnis;Förderung des fairen Miteinanders und der Konfliktlösung;3+ Jahre;"Gesellschaftsspiele spielen, ""Stopp-Spiel"", Regelplakate gestalten"
Das Kind übernimmt Verantwortung für ein jüngeres Kind;Emotionen und soziale Beziehungen;Soziale Beziehungen;Fürsorge;Förderung von Verantwortung und sozialem Lernen;4+ Jahre;Patenschaft für jüngere Kinder, Vorlesezeit für Kleine, gemeinsam aufräumen
Das Kind sucht Kompromisse bei Meinungsverschiedenheiten;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktlösung;Förderung von Kooperation und Kompromissbereitschaft;4+ Jahre;"Streitgeschichten nachspielen, ""Gefühlskarten"" zur Reflexion, Rollenspiel ""Was tun bei Streit?"""
Das Kind erkennt eigene Fähigkeiten und äußert Wünsche für die Zukunft;Emotionen und soziale Beziehungen;Emotionen;Zukunftsplanung;Förderung von Selbstreflexion und Zielbewusstsein;4+ Jahre;"Zukunftswunschbaum gestalten, ""Wenn ich groß bin""-Malspiel, Wunschbrief an sich selbst"
Das Kind erkennt Unterschiede zwischen Fantasie und Realität;Emotionen und soziale Beziehungen;Emotionen;Realitätsbewusstsein;Förderung von kognitiver Differenzierung und Vorstellungskraft;3+ Jahre;Geschichten über Realität und Fantasie, Theaterstücke mit Puppen, Rätselspiele
Das Kind ermutigt andere Kinder bei schwierigen Aufgaben;Emotionen und soziale Beziehungen;Soziale Beziehungen;Unterstützungsverhalten;Förderung von Zusammenhalt und Teamgeist;3+ Jahre;Partnerübungen, gemeinsames Lösen von Aufgaben, Theaterstück über Freundschaft
Das Kind tröstet ein weinendes Kind mit einer Umarmung;Emotionen und soziale Beziehungen; Soziale Beziehungen; Empathie; Förderung von Mitgefühl und sozialem Verhalten; 3+ Jahre; Bilderbuch „Wenn jemand traurig ist“, Rollenspiele „Wie kann ich trösten?“, Gefühlskarten verwenden
Das Kind sagt deutlich „Ich will das nicht“, wenn ihm etwas unangenehm ist;Emotionen und soziale Beziehungen; Emotionen; Abgrenzung; Förderung von Selbstschutz und Selbstwahrnehmung; 4+ Jahre; Körpergrenzen-Spiel, Gesprächsrunden über Nein-sagen, Puppenspiel zur Intimsphäre
Das Kind freut sich sichtbar über den Erfolg eines anderen Kindes;Emotionen und soziale Beziehungen; Soziale Beziehungen; Anerkennung und Freude für andere; Förderung von positiver Beziehungsgestaltung; 3+ Jahre; Lobrituale, Komplimentekette, Gruppengespräche über „Ich freue mich für dich“
Das Kind erzählt, warum es sich heute traurig fühlt;Emotionen und soziale Beziehungen; Emotionen; Gefühlsausdruck; Förderung der emotionalen Ausdrucksfähigkeit; 4+ Jahre; Gefühlstagebuch, Emotionsmemory, Gesprächsrunden mit Symbolkarten
Das Kind macht Vorschläge zur Lösung eines Problems in der Gruppe;Emotionen und soziale Beziehungen; Soziale Beziehungen; Problemlöseverhalten; Förderung von aktiver Mitgestaltung und Verantwortung; 5+ Jahre; Kinderrat, Problemlösespiel „Was tun wenn...?“, Abstimmungen im Morgenkreis
Das Kind erkennt, dass jemand ausgeschlossen wurde, und lädt ihn zum Spiel ein;Emotionen und soziale Beziehungen; Soziale Beziehungen; Inklusion; Förderung von sozialem Bewusstsein und Gerechtigkeitssinn; 4+ Jahre; Kooperationsspiele, Geschichten zu Ausgrenzung, Puppentheater
Das Kind spricht über Angst vor Dunkelheit und fragt nach Lösungen;Emotionen und soziale Beziehungen; Emotionen; Umgang mit Ängsten; Förderung von Selbstwirksamkeit und Gefühlsregulation; 3+ Jahre; Geschichten über Mut, Fantasiereise mit Licht, Mutmachkarten
Das Kind freut sich, Teil der Gruppe zu sein und übernimmt Aufgaben;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gruppenzugehörigkeit; Förderung von Identitätsbildung und Verantwortung; 3+ Jahre; Gruppendienste, Wir-Gefühl-Projekte, „Was macht uns besonders?“-Kreis
Das Kind kann einem anderen Kind etwas abgeben, obwohl es selbst gern damit spielen würde;Emotionen und soziale Beziehungen; Soziale Beziehungen; Rücksichtnahme; Förderung von Teilen und sozialer Verantwortung; 4+ Jahre; Teilgeschichten, „So fühlt sich das an“-Spiel, gemeinsames Bastelmaterial
Das Kind sagt: „Ich bin wütend, weil ich nicht drangekommen bin“ und bleibt dabei ruhig;Emotionen und soziale Beziehungen; Emotionen; Umgang mit Wut; Förderung von Impulskontrolle und Selbstregulation; 5+ Jahre; Wutball, Emotionsampel, Geschichten über Wut und Lösungen
Das Kind beobachtet lange, bevor es sich in ein Gruppenspiel einbringt;Emotionen und soziale Beziehungen; Soziale Beziehungen; Selbstvertrauen; Förderung von sozialer Sicherheit und Selbsteinschätzung; 3+ Jahre; Beobachtungsrolle würdigen, Einladung durch Pädagog:innen, Partnerwahl-Spiel
Das Kind fragt nach, warum ein anderes Kind traurig ist;Emotionen und soziale Beziehungen; Soziale Beziehungen; Empathie; Förderung von Mitgefühl und Gesprächsanbahnung; 4+ Jahre; Gefühlswürfel, Emotionsbilderbuch, Gesprächsrunden „Wie geht’s dir?“
Das Kind teilt stolz mit, dass es zu Hause geholfen hat;Emotionen und soziale Beziehungen; Emotionen; Selbstwert; Förderung von Verantwortungsgefühl und Selbstwirksamkeit; 3+ Jahre; Helfer:innenplan, „Was ich gut kann“-Wand, Gesprächskreis zu Alltagsleistungen
Das Kind meldet im Morgenkreis, dass jemand traurig aussieht;Emotionen und soziale Beziehungen; Soziale Beziehungen; Wahrnehmung anderer; Förderung von sozialem Blick und Achtsamkeit; 4+ Jahre;" Gefühlskarten im Morgenkreis, ""Wie erkenne ich Gefühle?""-Spiel, empathisches Vorlesen"
Das Kind lädt ein Kind ein, das allein spielt;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gemeinschaftssinn; Förderung von Solidarität und Gruppenintegration; 4+ Jahre; Gruppenspiele, Partnersuchspiel, „Jeder gehört dazu“-Lied
Das Kind traut sich, vor der Gruppe ein Lied zu singen;Emotionen und soziale Beziehungen; Emotionen; Selbstvertrauen; Förderung von Mut und Selbstausdruck; 5+ Jahre;" Talenteshow, ""Was ich gut kann""-Stunde, Applausritual"
Das Kind benennt eigene Gefühle differenziert („Ich bin enttäuscht, nicht wütend“);Emotionen und soziale Beziehungen; Emotionen; Gefühlsdifferenzierung; Förderung von emotionalem Vokabular und Selbstwahrnehmung; 5+ Jahre; Gefühlssymbole, Emotionsmemory, Alltagssituationen reflektieren
Das Kind bringt ein Kuscheltier als Trostspender für ein anderes Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Unterstützung; Förderung von sozialer Fürsorge und Bindungsverhalten; 3+ Jahre; Trostgeschichten, Kuscheltier-Runde, symbolisches „Trost schenken“
Das Kind bittet um Hilfe, wenn es überfordert ist;Emotionen und soziale Beziehungen; Emotionen; Hilfe suchen; Förderung von Selbstfürsorge und Problemlöseverhalten; 4+ Jahre; „Wer kann mir helfen?“-Spiel, Gespräch über Hilfe annehmen, Helferkinder
Das Kind schlägt eine neue Spielregel vor, um Streit zu vermeiden;Emotionen und soziale Beziehungen; Soziale Beziehungen; Konfliktvermeidung; Förderung von Regelbewusstsein und demokratischer Teilhabe; 5+ Jahre; Kinderkonferenz, eigene Spielregeln aufschreiben, Gruppenspiele mit Regelvariation
Das Kind verabschiedet sich traurig, winkt aber bewusst beim Abschied;Emotionen und soziale Beziehungen; Emotionen; Trennungssituation; Förderung von Abschiedskompetenz und Bindungssicherheit; 3+ Jahre; Abschiedsritual gestalten, Foto von Eltern mitgeben, „Ich denke an dich“-Karte
Das Kind sucht nach der Trennung einen ruhigen Rückzugsort;Emotionen und soziale Beziehungen; Emotionen; Selbstregulation; Förderung von Stressverarbeitung und Selbstfürsorge; 3+ Jahre; Ruheecke mit Kissen, Gefühle-Materialien, Fantasiereise „An meinem Wohlfühlort“
Das Kind sagt: „Ich bin traurig, aber Mama kommt ja wieder“;Emotionen und soziale Beziehungen; Emotionen; Trennungsverarbeitung; Förderung von Sicherheit durch Sprache und Rituale; 4+ Jahre; Gesprächsrunde „Was hilft beim Abschied?“, Wiederkommens-Uhr, Familienfotos in der Kita
Das Kind wirft sich beim Abschied weinend auf den Boden;Emotionen und soziale Beziehungen; Emotionen; Gefühlsausdruck; Unterstützung beim Umgang mit intensiven Gefühlen; 3+ Jahre; Beruhigung durch Körperkontakt (wenn gewünscht), Begrüßung durch Lieblingsspiel, empathischer Dialog
Das Kind äußert: „Ich vermisse meine Mama jetzt nicht mehr so doll“;Emotionen und soziale Beziehungen; Emotionen; Resilienzentwicklung; Förderung von Anpassungsfähigkeit und emotionaler Sicherheit; 4+ Jahre; Wochenplan mit Elternbesuchen, Abschiedsbuch führen, Stärke-Geschichten lesen
Das Kind reguliert sich nach einem Wutausbruch durch Atmen und Rückzug;Emotionen und soziale Beziehungen; Emotionen; Selbstberuhigung; Förderung von Emotionskontrolle und Lösungsstrategien; 5+ Jahre; Wutball oder Atemglas, Gefühleampel, „Was hilft mir, wenn ich wütend bin?“-Plakat
Das Kind schreit „Ich will nicht hierbleiben!“, beruhigt sich aber beim Spielen mit Freunden;Emotionen und soziale Beziehungen; Emotionen; Trennungssituation; Förderung von sozialer Bindung und Ablenkungskompetenz; 3+ Jahre; Lieblingsspiel bereithalten, Übergangsobjekt (z. B. Kuscheltier), Begrüßungslied
Das Kind zieht sich nach einem Streit zurück und spricht später von sich aus darüber;Emotionen und soziale Beziehungen; Emotionen; Konfliktverarbeitung; Förderung von emotionaler Nachbearbeitung und Ausdruck; 5+ Jahre; Streitgeschichten mit offenen Enden, „Was habe ich gefühlt?“-Karten, Gespräch mit Pädagog:in
Das Kind hilft einem weinenden Kind beim Abschied und sagt: „Meine Mama kommt auch später“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Mitgefühl bei Trennung; Förderung von Empathie in Übergangssituationen; 4+ Jahre;" Patenschaft unter Kindern, Trennungstagebuch, Rollenspiel ""Abschied & Wiedersehen"""
Das Kind schlägt vor, einen Brief an die Eltern zu schreiben, wenn es traurig ist;Emotionen und soziale Beziehungen; Emotionen; Ausdruck emotionaler Bedürfnisse; Förderung von Kommunikation und emotionaler Autonomie; 5+ Jahre; Briefkasten „Für Mama/Papa“, Ausdrucksmalerei, Kita-Tagebuch mit Fotos
Das Kind sagt: „Du bist mein bester Freund“ und sucht gezielt den Kontakt zu einem Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Bindungsverhalten; Förderung von Beziehungsgestaltung und Vertrauen; 3+ Jahre; Freundschafts-Malaktion, „Mein Freundebuch“, Geschichten über Freundschaft
Das Kind teilt sein Lieblingsspielzeug mit einem anderen Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Teilen und Großzügigkeit; Förderung von Gemeinschaftsgefühl und Empathie; 3+ Jahre; Teilen-Spiele, Vorlesegeschichte „Das geteilte Spielzeug“, Partneraufgaben
Das Kind wartet geduldig, bis die Freundin mit dem Spielzeug fertig ist;Emotionen und soziale Beziehungen; Soziale Beziehungen; Rücksichtnahme; Förderung von Impulskontrolle und sozialem Lernen; 4+ Jahre; Geduldspiele, Rollenspiel „Warten und Dransein“, Gesprächsrunden über Rücksicht
Das Kind spielt regelmäßig mit demselben Kind Rollenspiele und erfindet gemeinsam Geschichten;Emotionen und soziale Beziehungen; Soziale Beziehungen; Kooperationsfähigkeit; Förderung von kreativem Miteinander und gemeinsamen Handlungsstrategien; 5+ Jahre; Theater spielen, gemeinsam Bildergeschichten gestalten, „Abenteuer-Freundebuch“
Das Kind sagt nach einem Streit: „Wir können ja morgen wieder Freunde sein“;Emotionen und soziale Beziehungen; Emotionen; Versöhnung; Förderung von Konfliktlösung und Beziehungsfähigkeit; 5+ Jahre; Streitschlichtungsrituale, „Freundschaftsregenbogen“, Nachspielen von Versöhnungsszenen
Das Kind tröstet ein anderes Kind, das traurig ist, weil es ausgeschlossen wurde;Emotionen und soziale Beziehungen; Soziale Beziehungen; Mitgefühl; Förderung von Sensibilität und Hilfsbereitschaft; 4+ Jahre; Gefühle erraten mit Mimikbildern, Freundschaftsgeschichten, Mitfühlkarten gestalten
Das Kind fragt gezielt nach einem Kind, das krank ist oder fehlt;Emotionen und soziale Beziehungen; Soziale Beziehungen; Beziehungsaufbau; Förderung von sozialem Denken und Bindungsverstärkung; 3+ Jahre; „Wir denken an dich“-Post, gemeinsames Basteln für fehlende Kinder, Kalender „Wer fehlt heute?“
Das Kind bastelt gemeinsam mit einem Freund ein Geschenk für ein anderes Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gemeinsames Handeln; Förderung von Kooperationsfähigkeit und sozialer Kreativität; 4+ Jahre; Freundschaftsgeschenke basteln, Gruppenkunstwerke, „Wir machen was für andere!“
Das Kind sagt: „Wir sind Freunde, weil wir beide gern bauen“;Emotionen und soziale Beziehungen; Emotionen; Gemeinsamkeiten erkennen; Förderung von Identifikation und Gruppenbewusstsein; 4+ Jahre; Interessenplakat gestalten, Partnerinterview, Freundschaftscollage
Das Kind lädt ein anderes Kind zum gemeinsamen Mittagessen ein;Emotionen und soziale Beziehungen; Soziale Beziehungen; Zugehörigkeit; Förderung von sozialer Integration und Kontaktfreude; 3+ Jahre; Essensplatz selbst wählen lassen, Tischkärtchen gestalten, „Mit wem esse ich heute?“-Spiel
Das Kind sagt: „Du bist mein bester Freund“ und sucht gezielt den Kontakt zu einem bestimmten Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Bindungsverhalten; Förderung enger Beziehungen und Vertrauensbildung; 3+ Jahre; Freundschaftsbank, „Freunde-Buch“ gestalten, gemeinsame Spiele auswählen
Das Kind tröstet ein anderes Kind nach einem Missgeschick und bleibt bei ihm sitzen;Emotionen und soziale Beziehungen; Soziale Beziehungen; Empathie; Förderung von Mitgefühl und Fürsorge; 4+ Jahre; Gefühlswürfel, Geschichten über Trost, „Was tut gut?“–Runde
Das Kind äußert: „Ich spiele heute mit jemand anderem, aber du bleibst mein Freund“;Emotionen und soziale Beziehungen; Emotionen; Soziale Flexibilität; Förderung von Beziehungsvielfalt und Selbstständigkeit; 5+ Jahre; Soziometrische Spiele, Rollenspiel „Wer spielt mit wem?“, Freundschaftsregeln aufstellen
Das Kind plant ein gemeinsames Bauprojekt mit einem anderen Kind;Emotionen und soziale Beziehungen; Soziale Beziehungen; Kooperation; Förderung von Teamarbeit und gemeinsamen Zielsetzungen; 4+ Jahre; Gruppenkonstruktionen, Bauecke mit Partnerauswahl, Projekttage „Wir schaffen was zusammen“
Das Kind bastelt ein Geschenk für ein anderes Kind zum Geburtstag;Emotionen und soziale Beziehungen; Emotionen; Wertschätzung; Förderung von emotionaler Ausdrucksfähigkeit und Freundschaftspflege; 3+ Jahre; Freundschaftsbriefe, Geburtstagskalender gestalten, kleine Geschenke basteln
Das Kind sagt: „Ich mag dich nicht mehr“ nach einem Streit, versöhnt sich aber später wieder;Emotionen und soziale Beziehungen; Emotionen; Konflikt und Versöhnung; Förderung von Frustrationstoleranz und Beziehungsarbeit; 4+ Jahre; Streit-und-Versöhnungskarten, Gefühlskreise, Puppenspiel mit Konfliktszenen
Das Kind sagt: „Wir bauen immer zusammen die größten Türme“ und freut sich über die gemeinsame Leistung;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gemeinsame Erfolgserlebnisse; Förderung von Gruppenzusammenhalt und Stolz; 5+ Jahre; Kooperative Aufgaben, „Was wir gemeinsam geschafft haben“-Plakat, Bauprojekt dokumentieren
Das Kind fragt besorgt nach, wenn ein Freund oder eine Freundin fehlt;Emotionen und soziale Beziehungen; Emotionen; Zugehörigkeitsgefühl; Förderung von Empathie und sozialem Verantwortungsgefühl; 3+ Jahre; „Wer fehlt heute?“-Tafel, Geschichten über Vermissen, Post an fehlende Kinder
Das Kind lässt ein anderes Kind bei einem Spiel mitmachen, obwohl es nicht gefragt wurde;Emotionen und soziale Beziehungen; Soziale Beziehungen; Inklusion; Förderung von Offenheit und Gruppensensibilität; 4+ Jahre; Inklusives Spielen thematisieren, Mitspielregeln erarbeiten, „Alle dürfen mitmachen“-Projekte
Das Kind erzählt: „Ich hab gestern meinem Freund was von mir gegeben“;Emotionen und soziale Beziehungen; Emotionen; Großzügigkeit; Förderung von sozialen Werten und Beziehungspflege; 3+ Jahre; Geschichten über Teilen, Rollenspiel „Was kann ich teilen?“, Freundschaftsarmbänder basteln
Das Kind zieht sich zurück, wenn es in der Gruppe laut wird und beobachtet ängstlich;Emotionen und soziale Beziehungen; Emotionen; Angstbewältigung; Förderung von Sicherheitsgefühl und Mutaufbau; 3+ Jahre; Rückzugsorte schaffen, Mut-mach-Geschichten, Gesprächsrunden „Was macht mir Angst?“
Das Kind sagt nach einem Konflikt: „Ich war so wütend, ich wollte schreien!“;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Gefühlsausdruck; Förderung des verbalen Ausdrucks starker Gefühle; 4+ Jahre; Gefühlskarten, Wutball, Geschichten über Wut
Das Kind wirft im Ärger ein Spielzeug weg und verlässt den Raum;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Impulskontrolle; Förderung von Umgang mit starken Emotionen; 3+ Jahre; „Wut-Stopp“-Ampel, Gefühlsbarometer, Atemübungen für Kinder
Das Kind schreit „Ich will nicht!“ und rennt in eine Ecke, wenn etwas Ungewohntes passiert;Emotionen und soziale Beziehungen; Emotionen; Umgang mit Veränderung; Förderung von Stabilität und Selbstberuhigung; 3+ Jahre; Strukturierte Übergänge, Trostobjekte, Beruhigungsrituale
Das Kind versucht bewusst tief zu atmen, wenn es sich aufregt;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Beruhigungsstrategien; Förderung von Selbstwahrnehmung und Stressabbau; 5+ Jahre; Fantasiereisen, Kinder-Yoga, „Atemblume“ basteln
Das Kind spricht über seine Angst vor der Dunkelheit oder Monstern unter dem Bett;Emotionen und soziale Beziehungen; Emotionen; Angstverarbeitung; Förderung von Fantasie und Sicherheitsempfinden; 4+ Jahre; Nachtgeschichten, Anti-Monster-Spray basteln, Mut-Symbole herstellen
Das Kind bemerkt: „Der ist traurig, weil er verloren hat“ und sagt es der Erzieherin;Emotionen und soziale Beziehungen; Emotionen; Empathieentwicklung; Förderung von Einfühlungsvermögen und sozialem Verständnis; 3+ Jahre; Bilderbuchanalyse, Gesprächsrunden „Wie fühlt sich das an?“, Emotionen-Würfel
Das Kind ruft „Stopp!“ statt zu schlagen, wenn es geärgert wird;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Gewaltprävention; Förderung von gewaltfreier Konfliktlösung; 4+ Jahre; „Stopp“-Regel üben, Rollenspiele zu Grenzsetzung, Handpuppen-Übungen
Das Kind nutzt die Kuschelecke nach einem Wutanfall von selbst zur Beruhigung;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Selbstberuhigung; Förderung der Selbstwahrnehmung und -steuerung; 4+ Jahre; Ruhe-Ecken gestalten, Kuschelkissen, Gefühlsmandalas malen
Das Kind sagt nach einem Wutanfall: „Ich hätte lieber ruhig gezählt“;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Reflexion emotionaler Strategien; Förderung von metakognitivem Denken und Lernbereitschaft; 5+ Jahre; Gefühls-Tagebuch, Geschichten über starke Emotionen, Emotionsplakate gestalten
Das Kind ruft laut: „Hör auf, das will ich nicht!“ und wehrt sich verbal;Emotionen und soziale Beziehungen; Soziale Beziehungen; Selbstbehauptung; Förderung von Grenzsetzung und Kommunikationsfähigkeit; 4+ Jahre; Stopp-Regel üben, Rollenspiele zu Nein-Sagen, Bilderbücher zu Selbstschutz
Das Kind schlägt nach einem Streit vor, sich zu entschuldigen;Emotionen und soziale Beziehungen; Soziale Beziehungen; Konfliktlösung; Förderung von Einsicht und Beziehungspflege; 4+ Jahre; Entschuldigungskarten basteln, Streit-Geschichten lesen, Konfliktlösungsrituale
Das Kind beschwert sich im Morgenkreis, dass es immer zuletzt drankommt;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gerechtigkeitssinn; Förderung von Fairnessbewusstsein und sozialer Aushandlung; 5+ Jahre; Gesprächsrunden zu Gerechtigkeit, demokratische Abstimmungen, Kinderrat
Das Kind sagt: „Ich will lieber alleine spielen“;Emotionen und soziale Beziehungen; Emotionen; Bedürfnisäußerung; Förderung von Selbstwahrnehmung und Autonomie; 3+ Jahre; Ruheorte schaffen, Gespräch über Rückzug, Bilderbücher zum Thema Alleinsein
Das Kind schlägt vor, das Spiel so zu ändern, dass jeder mitspielen kann;Emotionen und soziale Beziehungen; Soziale Beziehungen; Inklusion; Förderung von Mitgefühl und Anpassungsfähigkeit; 5+ Jahre; Regeländerungs-Spiele, Teamaufgaben, Gespräch über Mitbestimmung
Das Kind schreit ein anderes Kind an: „Du bist gemein!“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Umgang mit Wut; Förderung von Impulskontrolle und alternativer Ausdrucksformen; 4+ Jahre; Wutball, Gefühlsampel, Emotionskarten im Morgenkreis
Das Kind beobachtet einen Streit und holt eine Fachkraft zur Hilfe;Emotionen und soziale Beziehungen; Soziale Beziehungen; Konfliktvermittlerverhalten; Förderung von Verantwortungsbewusstsein; 5+ Jahre; Helferdienste einführen, Rollenspiele „Hilfe holen“, Kinderschlichter-Projekt
Das Kind sucht gezielt den Kontakt zu einem Kind, mit dem es vorher gestritten hat;Emotionen und soziale Beziehungen; Soziale Beziehungen; Versöhnung; Förderung von Beziehungspflege und Konfliktnachbereitung; 4+ Jahre; „Wieder Freunde werden“-Spiel, Gefühlskarten zum Streitverlauf, Freundschaftstagebuch
Das Kind hilft einem weinenden Kind beim Anziehen;Emotionen und soziale Beziehungen; Soziale Beziehungen; Hilfsbereitschaft; Förderung von Empathie und Fürsorglichkeit; 3+ Jahre; Partnerübungen, „Ich helfe dir“-Rituale, Mitfühlgeschichten
Das Kind schreit: „Ich will aber zuerst!“ und schubst;Emotionen und soziale Beziehungen; Soziale Beziehungen; Frustrationstoleranz; Förderung von Impulskontrolle und Emotionsregulation; 3+ Jahre; Emotionsgeschichten, Bewegungsspiele mit Regeln, „Ich kann warten“-Lieder
Das Kind berichtet: „Ich bin traurig, weil XY nicht mit mir spielt“;Emotionen und soziale Beziehungen; Emotionen; Umgang mit Zurückweisung; Förderung von Selbstwert und sozialem Umgang; 4+ Jahre; Gesprächsrunden über Ausgrenzung, Gefühlstagebuch, Ich-Bin-Wertvoll-Plakat
Das Kind nimmt ein Spielzeug an sich und sagt: „Das war meins!“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Besitzverhalten; Förderung von Aushandlung und Perspektivübernahme; 3+ Jahre; Teilen-Spiele, Geschichten über Besitzkonflikte, Rollentausch-Spiele
Das Kind ruft: „Das war mein Platz!“ und bleibt stehen;Emotionen und soziale Beziehungen; Soziale Beziehungen; Raum- und Revierverhalten; Förderung von sozialem Verständnis für persönliche Grenzen; 4+ Jahre; Platzwahlrituale, Gespräch über „mein Raum – dein Raum“, Spielfeld-Regeln gemeinsam aufstellen
Das Kind vermittelt in einem Spielkonflikt zwischen zwei anderen Kindern;Emotionen und soziale Beziehungen; Soziale Beziehungen; Vermittlung; Förderung von Mediation und sozialen Lösungen; 5+ Jahre; Rollenspiele als Vermittler, Streitschlichter-Schulung, Gesprächsrunden zur Vermittlung
