Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind interessiert sich für die Nutzung von Besteck und Töpfen beim Rollenspiel.;Bewegung und Gesundheit;Gesundheit;Feinmotorik, Selbstständigkeit;Stärkung der Motorik und Selbstständigkeit;2+ Jahre;Spielküche mit echten Zutaten, Rollenspiel „Restaurant“, Gemeinsames Tischdecken
Das Kind spielt gern mit der Wasserbahn und experimentiert mit Wasserströmungen.;Bewegung und Gesundheit;Gesundheit;Sensorische Wahrnehmung;Förderung der Exploration und des forschenden Lernens;3+ Jahre;Wasserspiele mit Gießkannen, Schwämme auspressen, Wasserballons füllen und werfen
Das Kind zeigt Freude an Spiegeln und beobachtet seine Mimik.;Bewegung und Gesundheit;Gesundheit;Körperwahrnehmung;Entwicklung eines positiven Selbstbildes;1+ Jahre;Grimassenspiegel-Spiel, Selbstporträts malen, Sich im Spiegel anlächeln üben
Das Kind kichert, wenn es mit einer Feder gestreichelt wird.;Bewegung und Gesundheit;Gesundheit;Körpergefühl, Wohlbefinden;Förderung der Körperwahrnehmung und Freude am Körpergefühl;2+ Jahre;Fühlstraße mit verschiedenen Materialien, sanftes Kitzeln mit Federn, Massagegeschichten
Das Kind hüpft auf einem Bein und probiert es mit dem anderen Bein.;Bewegung und Gesundheit;Bewegung;Gleichgewicht, Koordination;Förderung der Balance und Koordination;3+;„Hüpfekästchen“ mit Kreide malen, Ein-Bein-Wettrennen, Hampelmann-Tanz, „Eins, zwei, drei – wir hüpfen!“
Das Kind entdeckt seine eigenen Körperteile im Spiegel und benennt sie.;Bewegung und Gesundheit;Gesundheit;Selbstwahrnehmung;Förderung des Körperbewusstseins und Selbstvertrauens;2+;Spiel: „Wo ist deine Nase?“, Spiegelspiele mit Grimassen, Körper-Puzzle, Lied „Mein Körper der macht Musik“
Das Kind traut sich nach mehreren Versuchen auf das Klettergerüst.;Bewegung und Gesundheit;Bewegung;Grobmotorik, Mut;Stärkung des Selbstvertrauens und der motorischen Fähigkeiten;4+;Kletterspiel „Bergsteiger“, Hindernisparcours mit Matten, „König der Kletterwand“-Spiel
Das Kind nimmt an einem Staffellauf teil und jubelt den anderen Kindern zu.;Bewegung und Gesundheit;Bewegung;Sozialkompetenz, Teamgeist;Förderung von Teamgeist und Fairness;4+;Staffelspiele mit Bällen, „Sackhüpfen-Wettbewerb“, Hindernislauf in Kleingruppen
Das Kind erzählt, dass es gestern beim Arzt war und beschreibt den Besuch.;Bewegung und Gesundheit;Sachkompetenz;Körperbewusstsein;Förderung des Verständnisses für medizinische Betreuung;3+;Rollenspiel „Ich bin der Arzt“, Praxis-Ecke mit Kuscheltieren als Patienten, Bilderbuch „Ich geh zum Arzt“
Das Kind probiert verschiedene Sportarten aus und entscheidet sich für seine Lieblingssportart.;Bewegung und Gesundheit;Bewegung;Körperkoordination;Entdeckung eigener Interessen und Stärken;4+;Fußballspiel im Garten, Balancierparcours, Bewegungsgeschichte mit Tanzelementen
Das Kind zeigt Interesse an verschiedenen Sportarten und fragt, wie sie gespielt werden.;Bewegung und Gesundheit;Bewegung;Sportliche Fertigkeiten;Kennenlernen neuer Bewegungsformen;4+;Einführung in verschiedene Sportarten (Hockey, Basketball, Turnen), Bewegungsgeschichten zu Sporthelden, Ausflug zum Sportplatz
Das Kind probiert verschiedene Greif- und Balancierübungen mit einem Ball.;Bewegung und Gesundheit;Bewegung;Feinmotorik, Koordination;Stärkung der Geschicklichkeit und Hand-Augen-Koordination;3+;Jonglieren mit Tüchern, Tischtennis mit Luftballons, Ball-Wettrennen, Zielwerfen auf Dosen
Das Kind erkundet mit Freude verschiedene Materialien mit seinen Füßen.;Bewegung und Gesundheit;Gesundheit;Körperwahrnehmung;Förderung der taktilen Wahrnehmung und Sensomotorik;2+;Barfußpfad mit Sand, Kieselsteinen und Gras, „Fühl-Memory“ mit Barfußstationen, Massage mit Tennisbällen
Das Kind kichert, wenn es mit einem weichen Tuch im Gesicht berührt wird.;Bewegung und Gesundheit;Gesundheit;Berührungsempfinden;Förderung der taktilen Wahrnehmung;1+;Streichelgeschichten, Tücher-Tanz zu Musik, „Wattepusten“-Wettbewerb
Das Kind kuschelt sich an eine Decke, wenn es müde ist.;Bewegung und Gesundheit;Gesundheit;Selbstwahrnehmung;Förderung des Körperbewusstseins;2+;Ruheecke mit Kuscheltieren, Schlafliedersingen, Traumreisen mit ruhiger Musik
Das Kind zeigt Interesse an der eigenen Verdauung und stellt Fragen zu seinem Körper.;Bewegung und Gesundheit;Gesundheit;Körperwissen, Hygiene;Förderung der Körperwahrnehmung und gesunden Gewohnheiten;3+;Bilderbuch „Was passiert mit meinem Essen?“, Experiment: Seifenblasen pusten (Luft und Atmung), Sprechspiel „Wo geht das Essen hin?“
Das Kind spielt begeistert „Feuer, Wasser, Sturm“ mit anderen.;Bewegung und Gesundheit;Bewegung;Reaktionsfähigkeit;Verbesserung der Beweglichkeit und Koordination;3+;Kreisspiel „Bello, Bello, dein Knochen ist weg“, Wettrennen mit Stopp-Zeichen, Bewegungslieder („Laurentia, liebe Laurentia mein“)
Das Kind reagiert mit Freude auf Partnermassagen.;Bewegung und Gesundheit;Gesundheit;Nähe und Vertrauen;Förderung des Wohlbefindens;2+;Partner-Massage „Igel über den Rücken“, Streichelspiel mit Federn, „Gegenseitig massieren“ mit Igelbällen
Das Kind kommt täglich mit dem Laufrad in die Kita und parkt es stolz am Eingang.;Bewegung und Gesundheit; Bewegung; Bewegungsfreude, Selbstständigkeit; Das Kind entwickelt Eigenständigkeit und Spaß an körperlicher Betätigung.; 3+ Jahre; Parcours mit verschiedenen Fahrgeräten, Fahrradtag, Gespräche über den Weg zur Kita.
Das Kind zieht sich nach dem Toben gerne in die Leseecke zurück.;Bewegung und Gesundheit;Gesundheit; Balance zwischen Aktivität und Ruhe; Das Kind lernt, auf die eigenen Bedürfnisse zu achten und findet Strategien zur Selbstregulation.; 4+ Jahre; Ruheorte gestalten, Entspannungsgeschichten, Dehn- und Atemübungen nach Bewegungszeiten.
Das Kind bevorzugt Klettern und Hangeln, meidet aber Balancierübungen.;Bewegung und Gesundheit; Bewegung; Grobmotorik, Gleichgewicht; Das Kind entwickelt gezielt sein Gleichgewichtsgefühl durch motivierende Übungen.; 4+ Jahre; Balancierparcours, Barfußpfad, Spiele mit Seilen und Balken.
Das Kind nimmt sich regelmäßig Nachschlag beim Mittagessen, kann seinen Hunger gut einschätzen.;Bewegung und Gesundheit;Gesundheit; Hunger- und Sättigungswahrnehmung; Das Kind lernt, die eigenen Körpersignale zu deuten und entsprechend zu handeln.; 3+ Jahre; Gespräch über Hungergefühle, Essens-Ampel, Ernährungsgeschichten.
Das Kind erkennt eigenständig, dass es müde ist, und bittet um eine Pause.;Bewegung und Gesundheit;Gesundheit; Körperwahrnehmung, Müdigkeit; Das Kind entwickelt ein Bewusstsein für seine Belastungsgrenzen.; 3+ Jahre; Kuschelecke mit Musik, Schlafkörbchen, Rituale zum Ankommen und Ausruhen.
Das Kind sucht engen Körperkontakt zu vertrauten Kindern, lehnt Fremde eher ab.;Bewegung und Gesundheit;Gesundheit; Nähe-Distanz-Empfinden; Das Kind lernt, seine eigenen Grenzen und die anderer zu erkennen und zu respektieren.; 4+ Jahre; Körpergrenzen thematisieren, Kuscheltiere einbinden, Stopp-Spiel üben.
Das Kind wählt bevorzugt körpernahe Spiele wie Raufen, Ringkämpfen oder Schieben.;Bewegung und Gesundheit; Bewegung; Körperkontakt, Selbstkontrolle; Das Kind erlebt Kraft und Körperkontakt als positive Ausdrucksform und lernt dabei Regeln und Grenzen.; 5+ Jahre; Rangel-Spiele mit Regeln, Stoppsignale einführen, Bewegungsspiele mit Körperkontakt.
Das Kind wünscht sich Musik zum Bewegen, sobald der Bewegungsraum frei ist.;Bewegung und Gesundheit; Bewegung; Bewegungsmotivation; Das Kind zeigt intrinsische Motivation zur Bewegung durch Reize wie Musik.; 3+ Jahre; Musik-Stopp-Spiele, Tanzangebote, Bewegungsrunden mit Rhythmusinstrumenten.
Das Kind hilft beim Tischdecken und weiß, wo Besteck und Geschirr hingehören.;Bewegung und Gesundheit;Gesundheit; Selbstständigkeit bei Mahlzeiten; Das Kind übernimmt Verantwortung bei gemeinsamen Mahlzeiten und stärkt motorische Abläufe.; 3+ Jahre; Küchendienst, Kinderbuffet, Besteck richtig einsortieren.
Das Kind zeigt Freude an Rollbrettern, nutzt sie jedoch eher vorsichtig.;Bewegung und Gesundheit; Bewegung; Sicherheitswahrnehmung, Mut; Das Kind stärkt Selbstvertrauen durch positive Bewegungserfahrungen in sicherem Rahmen.; 4+ Jahre; Rollbrett-Parcours, Mutmach-Geschichten, Partnerübungen mit Anleitung.
Das Kind fragt, warum es Bauchweh hat, nachdem es zu viel Süßes gegessen hat.;Bewegung und Gesundheit;Gesundheit; Körperwahrnehmung, Ernährungskompetenz; Das Kind beginnt, Zusammenhänge zwischen Essverhalten und Körperreaktionen zu erkennen.; 5+ Jahre; Zucker-Experimente, Verdauung kindgerecht erklären, Ernährungspyramide basteln.
Das Kind spielt Arzt und interessiert sich für Körperfunktionen.;Bewegung und Gesundheit;Gesundheit; Körperwissen; Das Kind entdeckt den eigenen Körper spielerisch und erweitert sein Gesundheitsverständnis.; 4+ Jahre; Rollenspiele „Krankenhaus“, Bücher zu Körper & Gesundheit, Körperpuzzle.
Das Kind sagt, dass es heute Bauchschmerzen hat und fragt nach einer Wärmflasche.;Bewegung und Gesundheit;Gesundheit; Krankheitswahrnehmung; Das Kind kann einfache Körpersignale einordnen und Hilfen einfordern.; 4+ Jahre; Gefühlstagebuch, Wärmflasche im Ruheraum, Gesprächsrunden über „krank sein“.
Das Kind bringt eine Brotdose mit Gemüse und fragt, ob es gesund ist.;Bewegung und Gesundheit;Gesundheit; Bewusste Ernährung; Das Kind entwickelt Interesse an gesunder Ernährung und hinterfragt sein Essverhalten.; 4+ Jahre; Ernährungsquiz, Gemüse-Detektive, Frühstücksgespräche.
Das Kind lehnt bestimmte Speisen ab, weil sie zu „glibberig“ sind.;Bewegung und Gesundheit;Gesundheit; Geschmackserfahrung, sensorische Wahrnehmung; Das Kind lernt, Geschmäcker und Texturen zu benennen und eigene Vorlieben zu kommunizieren.; 3+ Jahre; Probieraktionen mit allen Sinnen, Essensampel, Gespräch über Lieblingsessen.
Das Kind sagt beim Wickeln klar „Ich will das nicht“.;Bewegung und Gesundheit;Gesundheit; Körpergrenzen, Selbstbestimmung; Das Kind erkennt und artikuliert seine körperlichen Grenzen.; 3+ Jahre; Stopp-Signal üben, Kind entscheidet über Berührung (Hände zeigen), „Ich sage Stopp“-Bücher.
Das Kind beobachtet neugierig, wie ein anderes Kind sich ein Pflaster aufklebt.;Bewegung und Gesundheit;Gesundheit; Umgang mit Verletzungen; Das Kind entwickelt Interesse an Selbstversorgung bei kleinen Verletzungen.; 4+ Jahre; Pflasterstation, Erste-Hilfe-Spiele, Gespräch über kleine Wunden.
Das Kind kann schon gut mit der Schere schneiden, braucht aber Hilfe beim Malen.;Bewegung und Gesundheit;Gesundheit; Feinmotorik, Auge-Hand-Koordination; Das Kind erweitert gezielt feinmotorische Kompetenzen im Alltag.; 4+ Jahre; Bastelangebote mit unterschiedlichen Materialien, Malen nach Punkten, Fädelspiele.
Das Kind bevorzugt wilde Bewegungsspiele mit anderen Kindern.;Bewegung und Gesundheit; Bewegung; Sozialverhalten, Bewegungsdynamik; Das Kind nutzt Bewegung zur Interaktion und zum Gemeinschaftserleben.; 4+ Jahre; Fangspiele, Ballspiele, große Bewegungslandschaften.
Das Kind spielt mit anderen ein Verkehrsspiel und kennt das Stoppschild.;Bewegung und Gesundheit;Gesundheit; Sicherheitsbewusstsein; Das Kind lernt Regeln des Straßenverkehrs und deren Bedeutung für sicheres Verhalten.; 5+ Jahre; Verkehrsparcours, Fußgänger-Training, Ausflug mit Bus oder Bahn.
Das Kind trinkt eigenständig Wasser, wenn es Durst hat.;Bewegung und Gesundheit;Gesundheit; Flüssigkeitshaushalt, Selbstversorgung; Das Kind erkennt Durst und versorgt sich eigenständig.; 3+ Jahre; Getränkestation, Durstzeichen lernen, eigene Trinkflasche gestalten.
Das Kind wirkt häufig müde, bleibt aber aktiv, weil es nichts verpassen will.;Bewegung und Gesundheit;Gesundheit; Schlafrhythmus, Überforderung; Das Kind lernt, eigene Bedürfnisse besser wahrzunehmen und Pausen zu akzeptieren.; 4+ Jahre; Ruhezeiten einplanen, sanfte Rituale zum Abschalten, Gespräch über Müdigkeit.
Das Kind fragt, warum man sich die Hände waschen muss.;Bewegung und Gesundheit;Gesundheit; Gesundheitsvorsorge, Hygienebewusstsein; Das Kind erkennt den Sinn von Hygiene für die eigene Gesundheit.; 3+ Jahre; Händewaschlied, Seifenblasenversuch, Bildergeschichte „Warum Hände waschen?“.
Das Kind klettert sehr hoch und sagt „Ich bin nicht ängstlich“.;Bewegung und Gesundheit; Bewegung; Mut, Körperbeherrschung; Das Kind testet seine Grenzen aus und entwickelt Vertrauen in seine Fähigkeiten.; 4+ Jahre; Kletterwand mit Regeln, Mutmach-Karten, Erfolge dokumentieren.
Das Kind ruft nach Hilfe, wenn ein anderer sich verletzt hat.;Bewegung und Gesundheit;Gesundheit; Erste Hilfe, Verantwortungsbewusstsein; Das Kind erkennt Notfälle und reagiert altersgerecht.; 5+ Jahre; Erste-Hilfe-Projekt, Pflasterstation, Notrufspiel.
Das Kind interessiert sich für das Herz und fragt, warum es klopft.;Bewegung und Gesundheit;Gesundheit; Körperwissen, Neugier; Das Kind lernt den Körper und seine Funktionen kennen und stellt Fragen.; 4+ Jahre; Stethoskope ausprobieren, Körperbücher, Herzschlag fühlen.
Das Kind zieht sich nach dem Spielen komplett selbstständig um.;Bewegung und Gesundheit;Gesundheit; Körperpflege, Selbstständigkeit; Das Kind entwickelt Selbstversorgungsfähigkeiten im Alltag.; 4+ Jahre; Anziehpuppe, Kleidung sortieren, Umziehspiele.
Das Kind fragt, ob auch Erwachsene krank werden.;Bewegung und Gesundheit;Gesundheit; Krankheitsverständnis, Fürsorge; Das Kind lernt, dass Krankheit alle betreffen kann und spricht darüber offen.; 4+ Jahre; Geschichten über Krankheit, Rollenspiele „Arzt/Patient“, Gesprächskreis „Was hilft, wenn ich krank bin?“.
Das Kind erkennt, dass es nach dem Rennen außer Atem ist und setzt sich von selbst auf eine Bank.;Bewegung und Gesundheit;Gesundheit; Körper- und Gesundheitsbewusstsein; Das Kind lernt, körperliche Signale zu deuten und entsprechend zu handeln.; 4+ Jahre; Atemübungen nach Bewegung, Körperwahrnehmungsspiele, Bewegungspause mit Musik.
Das Kind berichtet, dass es Bauchschmerzen hat und möchte nicht mitspielen.;Bewegung und Gesundheit;Gesundheit; Bedürfniswahrnehmung; Das Kind nimmt eigene Körpersignale wahr und bringt sie verbal zum Ausdruck.; 4+ Jahre; Gefühlsbarometer, Gesprächskreis über „Wie geht es mir heute?“, Körpersignale benennen.
Das Kind schaut neugierig in den Spiegel und zählt laut Körperteile auf.;Bewegung und Gesundheit;Gesundheit; Körperteile und Funktionen; Das Kind lernt, seinen Körper bewusst wahrzunehmen und zu benennen.; 3+ Jahre; Körperspiele, Lieder mit Körperbezug, Körperumriss gestalten.
Das Kind hüpft mit Begeisterung durch den Bewegungsraum und probiert neue Geräte aus.;Bewegung und Gesundheit;Gesundheit; Bewegungsfreude und -radius; Das Kind erweitert seinen Bewegungsradius durch freudvolles Ausprobieren.; 3+ Jahre; Bewegungsbaustelle, Turnlandschaften, Barfußparcours.
Das Kind zeigt Ausdauer beim Üben von Purzelbäumen und will es immer wieder schaffen.;Bewegung und Gesundheit;Bewegung; Umgang mit Misserfolgen; Das Kind entwickelt Motivation und Ausdauer beim Üben körperlicher Fähigkeiten.; 5+ Jahre; Zirkusprojekt, Bewegungstagebuch, Erfolgserlebnisse feiern.
Das Kind hilft beim Kochen und erklärt, was gesund ist.;Bewegung und Gesundheit;Gesundheit; Ernährungskompetenz; Das Kind entwickelt ein Bewusstsein für gesunde Ernährung und beteiligt sich aktiv.; 4+ Jahre; Gemüsesuppe kochen, Ernährungspyramide basteln, Sinnesparcours mit Lebensmitteln.
Das Kind entdeckt beim Händewaschen eine Wunde und fragt nach einem Pflaster.;Bewegung und Gesundheit;Gesundheit; Basishygiene; Das Kind erkennt hygienische Maßnahmen als Schutz vor Krankheit.; 4+ Jahre; Hygieneregeln visualisieren, Hygiene-Memory, Wasserexperimente.
Das Kind wirft gezielt einen Ball in einen Korb und freut sich über den Treffer.;Bewegung und Gesundheit;Bewegung; Geschicklichkeit und Koordination; Das Kind verbessert seine Auge-Hand-Koordination durch zielgerichtete Bewegung.; 4+ Jahre; Wurfspiele, Dosenwerfen, Ballzielübungen.
Das Kind äußert, dass es beim Frühstück lieber still isst.;Bewegung und Gesundheit;Gesundheit; Genuss und Achtsamkeit beim Essen; Das Kind lernt, Esssituationen bewusst und nach eigenen Bedürfnissen zu gestalten.; 4+ Jahre; Ruhiges Frühstücksritual, Essensplatz gestalten, Essensregeln besprechen.
Das Kind kennt den Unterschied zwischen Bauchweh und Hunger und beschreibt beides.;Bewegung und Gesundheit;Gesundheit; Gesundheitsverständnis; Das Kind differenziert zwischen körperlichen Empfindungen und drückt sie altersgerecht aus.; 4+ Jahre; Körperposter gestalten, Rollenspiele mit Arztkoffer, Gefühlskarten.
Das Kind sagt „Ich bin ganz schön stark geworden“ nach dem Klettern.;Bewegung und Gesundheit;Gesundheit; Selbstwirksamkeit und Stärken; Das Kind erlebt sich als kompetent und erkennt eigene Entwicklung.; 5+ Jahre; Erfolgsspirale malen, Bewegungsstationen mit Feedback, Reflexionsrunden.
Das Kind streckt beim Yoga bewusst den Rücken durch und sagt „Jetzt bin ich ruhig.“;Bewegung und Gesundheit;Bewegung; Körperspannung und -entspannung; Das Kind erlebt Körperwahrnehmung und Entspannung durch gezielte Bewegung.; 4+ Jahre; Kinderyoga, Fantasiereise mit Bewegung, Atemübungen.
Das Kind erkennt auf einem Ernährungsposter verschiedene Lebensmittelgruppen.;Bewegung und Gesundheit;Gesundheit; Zusammenhänge Ernährung – Gesundheit; Das Kind entwickelt Wissen über die Bedeutung ausgewogener Ernährung.; 5+ Jahre; Ernährungspuzzle, Lebensmittelkarten sortieren, Wochenspeiseplan mitgestalten.
Das Kind will bei Regen keine Jacke tragen und lernt durch Erfahrung, warum sie wichtig ist.;Bewegung und Gesundheit;Gesundheit; Kleidung und Wetter; Das Kind lernt, Kleidung witterungsgerecht auszuwählen.; 3+ Jahre; Wettersymbole, Anziehpuppe mit Kleidung, Gespräch über Wetterkleidung.
Das Kind fragt nach dem Unterschied zwischen Jungen- und Mädchenkörpern.;Bewegung und Gesundheit;Gesundheit; Grundwissen über Sexualität; Das Kind beginnt, sich altersgerecht mit geschlechtlichen Unterschieden auseinanderzusetzen.; 5+ Jahre; Bücher über Körper und Sexualität, Gespräche über Intimsphäre, Puppen mit Geschlechtsmerkmalen.
Das Kind wiederholt eine Kletterübung immer wieder, um sie zu verbessern.;Bewegung und Gesundheit;Bewegung; Körperliche Fähigkeiten entwickeln; Das Kind nutzt Übung als Methode zur Weiterentwicklung körperlicher Kompetenzen.; 4+ Jahre; Übungsparcours, Erfolgstagebuch, Zielkarten.
Das Kind bringt von zu Hause seine Lieblingsfrucht mit und erklärt, warum sie ihm schmeckt.;Bewegung und Gesundheit;Gesundheit; Genuss und Geschmack; Das Kind entwickelt Esskultur und bewusste Geschmackserfahrungen.; 3+ Jahre; Obstteller gestalten, Geschmackstests, Geschichten zu Lieblingsspeisen.
Das Kind erfindet ein neues Fangspiel mit eigenen Regeln.;Bewegung und Gesundheit;Bewegung; Regeln für Bewegung und Spiel; Das Kind übernimmt Verantwortung für das gemeinsame Spiel und gestaltet Regeln kreativ.; 5+ Jahre; Regelwerkstatt, Spielideenrunde, Spielpläne gestalten.
Das Kind erkennt, dass ein anderes Kind stürzt und ruft nach einem Erwachsenen.;Bewegung und Gesundheit;Gesundheit; Hilfe holen; Das Kind übernimmt Verantwortung und reagiert in Notlagen angemessen.; 4+ Jahre; Erste-Hilfe-Spiele, Rollenspiele mit Notfall, Notfallbox im Gruppenraum.
Das Kind erkennt, dass es müde ist und schlägt von sich aus eine Pause vor.;Bewegung und Gesundheit;Gesundheit; Umgang mit körperlicher Anstrengung; Das Kind nimmt eigene Erschöpfung wahr und reagiert verantwortungsbewusst.; 3+ Jahre; „Wie fühle ich mich“-Spiegel, Entspannungsdecke, Bewegung-Ruhe-Tafel.
Das Kind untersucht mit einer Lupe seine Hände und zählt Fingerglieder.;Bewegung und Gesundheit;Gesundheit; Körperwissen; Das Kind zeigt forschendes Interesse am eigenen Körper.; 4+ Jahre; Handabdruck-Malen, Mikroskopie einfacher Hautstrukturen, Gespräch über Finger und Sinne.
Das Kind sagt: „Wenn ich hüpfe, wird mir warm.“;Bewegung und Gesundheit;Gesundheit; Körper- und Gesundheitsbewusstsein; Das Kind erkennt körperliche Reaktionen und verknüpft sie mit Bewegung.; 4+ Jahre; Thermometer-Aktivität, Vorher-Nachher-Gespräche, „Was passiert im Körper“-Spiele.
Das Kind vergleicht mit einem anderen Kind, wer höher springen kann.;Bewegung und Gesundheit;Bewegung; Neue Herausforderungen; Das Kind sucht Vergleich und entwickelt Leistungsfreude.; 5+ Jahre; Bewegungschallenges, Spring-Spiel-Parcours, „Ich kann das schon“-Bücher.
Das Kind nimmt beim Zähneputzen bewusst die Zahnbürste in die andere Hand, um es zu probieren.;Bewegung und Gesundheit;Gesundheit; Fähigkeitsbewusstsein; Das Kind erforscht aktiv seine motorischen Fähigkeiten.; 4+ Jahre; Links-rechts-Spiele, Zahnpflege-Lied, „Welche Hand bin ich?“-Übungen.
Das Kind fragt, ob man mit Sport auch gesund bleibt.;Bewegung und Gesundheit;Bewegung; Gesundheitsverständnis; Das Kind erkennt Zusammenhänge zwischen Bewegung und Gesundheit.; 4+ Jahre; Gesprächskreise „Was tut mir gut“, Bilderrätsel zu Körper & Gesundheit, Sporttage.
Das Kind fragt nach einer Pause beim Ballspiel, weil es Durst hat.;Bewegung und Gesundheit;Gesundheit; Ernährungskompetenz; Das Kind erkennt Körpersignale wie Durst und handelt entsprechend.; 3+ Jahre; Trinkstation, Durstzeichen üben, Gespräch über Körperbedürfnisse.
Das Kind erkennt ein Warnschild an der Kletterwand und beachtet es bewusst.;Bewegung und Gesundheit;Bewegung; Gefahren erkennen und vermeiden; Das Kind erkennt Gefahrenzeichen und handelt sicherheitsbewusst.; 5+ Jahre; Sicherheitssymbole besprechen, Parcours mit Warnschildern, Sicherheitsdialoge.
Das Kind sagt, dass es Bauchweh hat und möchte sich hinlegen.;Bewegung und Gesundheit;Gesundheit; Körper- und Gesundheitsbewusstsein; Das Kind erkennt körperliche Signale und sucht Ruhe.; 4+ Jahre; Ruheinsel mit Kissen, Gespräch über Körpergefühl, Fantasiereise zur Entspannung.
Das Kind hilft beim Händewaschen und erinnert andere Kinder daran.;Bewegung und Gesundheit;Gesundheit; Basishygiene; Das Kind übernimmt Verantwortung für Hygiene im Alltag.; 3+ Jahre; Händewaschlied, Hygienestation, Bilderbuch zu Keimen.
Das Kind bittet darum, sein Lieblingsessen zu bekommen.;Bewegung und Gesundheit;Gesundheit; Bedürfniswahrnehmung; Das Kind äußert selbstständig seine Vorlieben.; 3+ Jahre; Essensgespräche, Wunschessenliste, Bildkarten mit Speisen.
Das Kind zieht sich wettergerecht um und erklärt, warum es die Mütze braucht.;Bewegung und Gesundheit;Gesundheit; Kleidung und Wetter; Das Kind versteht Zusammenhänge zwischen Wetter und Gesundheit.; 4+ Jahre; Wetterkalender, Kleidungspuppen, Rollenspiele „Was ziehe ich an?“
Das Kind möchte ein Pflaster selbst aufkleben.;Bewegung und Gesundheit;Gesundheit; Hilfe holen; Das Kind entwickelt Selbstständigkeit im Umgang mit kleinen Verletzungen.; 4+ Jahre; Erste-Hilfe-Tisch, Pflasterbox, Rollenspiele zu „Was tun bei Aua?“
Das Kind lacht beim Drehen auf der Stelle und ruft „mir ist schwindlig!“;Bewegung und Gesundheit;Bewegung; Körperwahrnehmung und Identität; Das Kind erkundet mit Freude seinen Körper und Gleichgewichtssinn.; 3+ Jahre; Kreisspiele, Schaukeln, Drehscheiben-Parcours.
Das Kind bittet darum, noch mehr von einem Gericht zu bekommen.;Bewegung und Gesundheit;Gesundheit; Ernährungskompetenz; Das Kind erkennt Hunger und äußert seinen Bedarf.; 3+ Jahre; Buffet-Modelle, kindgerechte Schüsseln, Gespräch über Hunger/Sättigung.
Das Kind erzählt, dass es zu Hause mit Mama Yoga macht.;Bewegung und Gesundheit;Gesundheit; Balance zwischen Bewegung und Ruhe; Das Kind verbindet Bewegung und Entspannung als wohltuend.; 4+ Jahre; Kinderyoga, Atemübungen, „Beweg dich, ruhe dich aus“-Spiel.
Das Kind hüpft mit Freude auf einem Bein über Kissen.;Bewegung und Gesundheit;Bewegung; Gleichgewicht und Koordination; Das Kind stärkt seinen Gleichgewichtssinn durch dynamische Übungen.; 4+ Jahre; Hüpfgarten, Kissenparcours, Bewegungslieder mit Hüpfen.
Das Kind schneidet selbstständig sein Obst mit einem Kindermesser.;Bewegung und Gesundheit;Gesundheit; Feinmotorik und Selbstständigkeit; Das Kind verbessert seine Geschicklichkeit beim Zubereiten von Speisen.; 5+ Jahre; Obstschneide-Station, Frühstückshelfer, Küchendienst.
Das Kind legt sich nach dem Mittagessen freiwillig in den Ruheraum.;Bewegung und Gesundheit;Gesundheit; Erholung und Selbstregulation; Das Kind erkennt seine Bedürfnisse nach Ruhe.; 3+ Jahre; Traumreisen, Kuschelkissen, Leise-Musik-Zeit.
Das Kind klettert zielsicher auf eine Kletterwand.;Bewegung und Gesundheit;Bewegung; Körperkraft und Koordination; Das Kind entwickelt Mut und Körperspannung beim Klettern.; 5+ Jahre; Kletterwand, Bewegungslandschaft, Mut-Kletterpass.
Das Kind fragt: „Wie viele Knochen hab ich?“;Bewegung und Gesundheit;Gesundheit; Körperwissen; Das Kind zeigt Interesse an der Struktur des menschlichen Körpers.; 5+ Jahre; Skelettpuzzle, Körperbuch, Lernposter „Mein Körper“.
Das Kind sagt: „Ich bin müde und leg mich hin.“;Bewegung und Gesundheit;Gesundheit; Körperliche Selbstwahrnehmung; Das Kind erkennt Erschöpfung und handelt entsprechend.; 4+ Jahre; Ruheinsel, Ich-bin-müde-Karte, Schlafplatz selbst wählen.
Das Kind fährt sicher mit dem Laufrad um Hindernisse.;Bewegung und Gesundheit;Bewegung; Raumorientierung; Das Kind trainiert Beweglichkeit und vorausschauendes Handeln.; 3+ Jahre; Fahrparcours, Verkehrshütchen, Laufrad-Führerschein.
Das Kind freut sich über eine Massage mit einem Igelball.;Bewegung und Gesundheit;Gesundheit; Körperwahrnehmung; Das Kind genießt taktile Reize zur Beruhigung und Entspannung.; 3+ Jahre; Massage-Rituale, Igelball-Tausch, Körperwahrnehmungsrunde.
Das Kind hilft beim Zähneputzen-Ritual im Waschraum.;Bewegung und Gesundheit;Gesundheit; Zahnhygiene; Das Kind übernimmt Verantwortung für eigene Gesundheitsvorsorge.; 5+ Jahre; Zahnputzstation, Zahnspiel mit Puppe, Zahnkalender.
Das Kind spürt bewusst seinen Herzschlag nach dem Rennen.;Bewegung und Gesundheit;Gesundheit; Körperfunktionen; Das Kind setzt sich aktiv mit körperlichen Reaktionen auseinander.; 5+ Jahre; Pulsfühlen, Bewegungspausen, Gespräch „Was spür ich?“
Das Kind wählt Gummistiefel bei Regenwetter aus.;Bewegung und Gesundheit;Gesundheit; Kleidung und Wettersensibilität; Das Kind trifft wetterangepasste Entscheidungen.; 4+ Jahre; Wetter-Tisch, Kleidungslied, Gesprächsrunde „Was zieh ich an?“
